,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_1,1800000000000.0,11800000000000.0,11,0.9030651122084284,1800000000000.0,22.9
1,NU,Argonne_1,13000000000001.0,32000000000001.0,10,0.8766737761571037,1200000000000.0,20.0
2,NU,Fermilab_2,34100795000002.0,53100795000002.0,10,0.8097515421454337,2100795000000.0,5.631578947368421
3,NU,Argonne_1,54800795000003.0,66800795000003.0,10,0.9948372386518511,1700000000000.0,0.0
4,NU,Fermilab_1,69600795000004.0,85600795000004.0,10,0.8784809328669556,2800000000000.0,7.687499999999999
5,NU,Argonne_1,87200795000005.0,103200795000005.0,10,0.9111192233841447,1600000000000.0,20.9375
6,NU,Argonne_3,104400795000006.0,117400795000006.0,11,0.8128428874624383,1200000000000.0,15.076923076923078
7,NU,UChicago_HC,143715240000007.0,159715240000007.0,11,0.8454637050321816,26314445000000.0,51.8125
8,NU,StarLight,164017625000008.0,175017625000008.0,11,0.8753025051175385,4302385000000.0,436.09090909090907
9,NU,Argonne_2,203642105000009.0,216642105000009.0,10,0.9225035608330624,28624480000000.0,13.76923076923077
10,NU,Argonne_3,218042105000010.0,236042105000010.0,10,0.8909519637165163,1400000000000.0,12.944444444444445
11,NU,Fermilab_1,237042105000011.0,253042105000011.0,10,0.8674595011497398,1000000000000.0,8.25
12,NU,Argonne_2,254042105000012.0,271042105000012.0,11,0.9188107764775415,1000000000000.0,15.76470588235294
13,NU,Fermilab_1,272942105000013.0,289942105000013.0,11,0.9381551542413399,1900000000000.0,9.058823529411764
14,NU,Fermilab_2,300673425000014.0,314673425000014.0,11,0.8078131066511629,10731320000000.0,5.857142857142857
15,NU,UChicago_HC,315973425000015.0,333973425000015.0,11,0.868326801994834,1300000000000.0,54.611111111111114
16,NU,StarLight,335773425000016.0,349773425000016.0,10,0.9742027423682432,1800000000000.0,399.64285714285717
17,NU,StarLight,364073425000017.0,380073425000017.0,11,0.9069986029495416,14300000000000.0,439.5
18,NU,UChicago_PME,381073425000018.0,400073425000018.0,11,0.9910662533603759,1000000000000.0,3.842105263157895
19,NU,Argonne_1,401073425000019.0,413073425000019.0,11,0.8522877108956031,1000000000000.0,24.75
20,NU,Fermilab_1,414073425000020.0,424073425000020.0,11,0.8493495682319496,1000000000000.0,10.899999999999999
21,NU,StarLight,425273425000021.0,443273425000021.0,10,0.9379245200378132,1200000000000.0,403.38888888888886
22,NU,UChicago_PME,444673425000022.0,456673425000022.0,10,0.8384973124829499,1400000000000.0,74.83333333333333
23,NU,StarLight,458173425000023.0,474173425000023.0,10,0.9098062082221046,1500000000000.0,396.8125
24,NU,Fermilab_2,483803265000024.0,493803265000024.0,11,0.8976695662092913,9629840000000.0,5.6000000000000005
25,NU,StarLight,494803265000025.0,506803265000025.0,11,0.9203140462479236,1000000000000.0,445.75
26,NU,Fermilab_1,507803265000026.0,526803265000026.0,10,0.8484508164112874,1000000000000.0,8.578947368421053
27,NU,Argonne_3,528103265000027.0,544103265000027.0,11,0.820320469582754,1300000000000.0,15.6875
28,NU,Argonne_3,546003265000028.0,564003265000028.0,11,0.9563374871917301,1900000000000.0,6.833333333333333
29,NU,Fermilab_1,566606745000029.0,582606745000029.0,10,0.9014031658553716,2603480000000.0,9.0625
30,NU,UChicago_HC,595307540000030.0,614307540000030.0,10,0.8965969703036824,12700795000000.0,44.84210526315789
31,NU,UChicago_PME,615907540000031.0,628907540000031.0,10,0.8226711785843154,1600000000000.0,73.15384615384616
32,NU,Argonne_3,662921055000032.0,674921055000032.0,11,0.8038166922448725,34013515000000.0,15.583333333333334
33,NU,Fermilab_1,685528210000033.0,695528210000033.0,11,0.8393629629753159,10607155000000.0,8.7
34,NU,Argonne_3,696928210000034.0,714928210000034.0,10,0.9863086796141283,1400000000000.0,0.05555555555555555
35,NU,StarLight,716628210000035.0,728628210000035.0,10,0.9168773494925,1700000000000.0,404.25
36,NU,UChicago_HC,740628210000036.0,752628210000036.0,11,0.8732515016199819,12000000000000.0,50.083333333333336
37,NU,StarLight,758428210000037.0,777428210000037.0,11,0.9799875352065622,5800000000000.0,442.7894736842105
38,NU,Argonne_2,787934330000038.0,802934330000038.0,10,0.9169975013200498,10506120000000.0,14.066666666666666
39,NU,StarLight,821434330000039.0,836434330000039.0,11,0.830797375134333,18500000000000.0,448.8666666666667
40,NU,Argonne_1,837934330000040.0,855934330000040.0,11,0.8478527295910183,1500000000000.0,23.61111111111111
41,NU,StarLight,857534330000041.0,869534330000041.0,11,0.9891316597848004,1600000000000.0,453.16666666666663
42,NU,Argonne_2,883565315000042.0,902565315000042.0,10,0.8707028413979792,14030985000000.0,13.842105263157896
43,NU,Argonne_2,923121455000043.0,935121455000043.0,11,0.957365099889245,20556140000000.0,0.0
44,NU,Fermilab_2,945336665000044.0,961336665000044.0,11,0.9978062669502084,10215210000000.0,0.0
45,NU,StarLight,963236665000045.0,977236665000045.0,11,0.8124431529007627,1900000000000.0,435.2142857142857
46,StarLight,Fermilab_1,1500000000000.0,16500000000000.0,22,0.8738134479590757,1500000000000.0,25.733333333333334
47,StarLight,Argonne_1,18900000000001.0,34900000000001.0,36,0.9265512545214292,2400000000000.0,117.5625
48,StarLight,UChicago_HC,63362900000002.0,78362900000002.0,10,0.8103458463967551,28462900000000.0,74.93333333333334
49,StarLight,Argonne_3,92784315000003.0,110784315000003.0,13,0.9947249880467093,14421415000000.0,0.0
50,StarLight,Argonne_1,112584315000004.0,125584315000004.0,19,0.8397167040062703,1800000000000.0,65.23076923076923
51,StarLight,Fermilab_2,158805795000005.0,176805795000005.0,11,0.9562798649628241,33221480000000.0,8.722222222222221
