,Node,Start_time,End_time,Memory_size
0,NU,1800000000000.0,11800000000000.0,11
1,NU,13000000000001.0,32000000000001.0,10
2,NU,34100795000002.0,53100795000002.0,10
3,NU,54800795000003.0,66800795000003.0,10
4,NU,58098975000001.0,71098975000001.0,15
5,NU,69600795000004.0,85600795000004.0,10
6,NU,73998975000002.0,85998975000002.0,10
7,NU,86157725000003.0,104157725000003.0,10
8,NU,87200795000005.0,103200795000005.0,10
9,NU,104400795000006.0,117400795000006.0,11
10,NU,118266305000002.0,135266305000002.0,24
11,NU,136373990000006.0,153373990000006.0,11
12,NU,143715240000007.0,159715240000007.0,11
13,NU,159754045000008.0,174754045000008.0,10
14,NU,164017625000008.0,175017625000008.0,11
15,NU,180707385000006.0,199707385000006.0,17
16,NU,203642105000009.0,216642105000009.0,10
17,NU,212632455000004.0,229632455000004.0,12
18,NU,218042105000010.0,236042105000010.0,10
19,NU,237042105000011.0,253042105000011.0,10
20,NU,254042105000012.0,271042105000012.0,11
21,NU,272942105000013.0,289942105000013.0,11
22,NU,300673425000014.0,314673425000014.0,11
23,NU,315973425000015.0,333973425000015.0,11
24,NU,335773425000016.0,349773425000016.0,10
25,NU,345259460000017.0,363259460000017.0,10
26,NU,351285895000017.0,369285895000017.0,10
27,NU,364073425000017.0,380073425000017.0,11
28,NU,379589625000012.0,390589625000012.0,10
29,NU,381073425000018.0,400073425000018.0,11
30,NU,401073425000019.0,413073425000019.0,11
31,NU,406387270000014.0,420387270000014.0,13
32,NU,414073425000020.0,424073425000020.0,11
33,NU,424459155000020.0,441459155000020.0,11
34,NU,425273425000021.0,443273425000021.0,10
35,NU,444673425000022.0,456673425000022.0,10
36,NU,458173425000023.0,474173425000023.0,10
37,NU,471778160000024.0,482778160000024.0,11
38,NU,483803265000024.0,493803265000024.0,11
39,NU,494803265000025.0,506803265000025.0,11
40,NU,507803265000026.0,526803265000026.0,10
41,NU,528103265000027.0,544103265000027.0,11
42,NU,546003265000028.0,564003265000028.0,11
43,NU,547082960000020.0,562082960000020.0,13
44,NU,564108125000025.0,581108125000025.0,10
45,NU,566606745000029.0,582606745000029.0,10
46,NU,581388525000021.0,594388525000021.0,15
47,NU,585715715000026.0,596715715000026.0,10
48,NU,595307540000030.0,614307540000030.0,10
49,NU,597620125000026.0,611620125000026.0,10
50,NU,613520125000027.0,629520125000027.0,10
51,NU,615907540000031.0,628907540000031.0,10
52,NU,630529505000017.0,645529505000017.0,21
53,NU,657645390000018.0,669645390000018.0,13
54,NU,662921055000032.0,674921055000032.0,11
55,NU,685528210000033.0,695528210000033.0,11
56,NU,687710690000031.0,705710690000031.0,10
57,NU,696928210000034.0,714928210000034.0,10
58,NU,716628210000035.0,728628210000035.0,10
59,NU,721440495000033.0,740440495000033.0,11
60,NU,728693180000037.0,741693180000037.0,10
61,NU,740628210000036.0,752628210000036.0,11
62,NU,742293635000033.0,758293635000033.0,11
63,NU,753115130000035.0,771115130000035.0,10
64,NU,758428210000037.0,777428210000037.0,11
65,NU,771698635000035.0,786698635000035.0,10
66,NU,779821245000025.0,794821245000025.0,11
67,NU,787934330000038.0,802934330000038.0,10
68,NU,795211995000036.0,811211995000036.0,10
69,NU,804032295000036.0,821032295000036.0,11
70,NU,811655090000037.0,828655090000037.0,11
71,NU,821434330000039.0,836434330000039.0,11
72,NU,837934330000040.0,855934330000040.0,11
73,NU,857534330000041.0,869534330000041.0,11
74,NU,862694180000045.0,874694180000045.0,10
75,NU,883565315000042.0,902565315000042.0,10
76,NU,923121455000043.0,935121455000043.0,11
77,NU,925900845000041.0,941900845000041.0,11
78,NU,942485840000043.0,957485840000043.0,10
79,NU,945336665000044.0,961336665000044.0,11
80,NU,963236665000045.0,977236665000045.0,11
81,NU,991376445000046.0,1010376445000046.0,10
82,NU,994095815000046.0,1006095815000046.0,10
83,StarLight,1100000000000.0,18100000000000.0,30
84,StarLight,1800000000000.0,11800000000000.0,22
85,StarLight,1500000000000.0,16500000000000.0,22
86,StarLight,13000000000001.0,32000000000001.0,20
87,StarLight,18532220000000.0,33532220000000.0,22
88,StarLight,18900000000001.0,34900000000001.0,36
89,StarLight,32732350000001.0,48732350000001.0,20
90,StarLight,34100795000002.0,53100795000002.0,20
91,StarLight,49810475000002.0,62810475000002.0,22
92,StarLight,53932350000002.0,70932350000002.0,11
93,StarLight,54800795000003.0,66800795000003.0,20
94,StarLight,58098975000001.0,71098975000001.0,30
95,StarLight,63362900000002.0,78362900000002.0,10
96,StarLight,69600795000004.0,85600795000004.0,20
97,StarLight,72532350000003.0,86532350000003.0,20
98,StarLight,73998975000002.0,85998975000002.0,20
99,StarLight,86157725000003.0,104157725000003.0,20
100,StarLight,87200795000005.0,103200795000005.0,20
101,StarLight,92784315000003.0,110784315000003.0,13
102,StarLight,92832350000004.0,106832350000004.0,20
103,StarLight,104400795000006.0,117400795000006.0,22
104,StarLight,107957725000004.0,118957725000004.0,22
105,StarLight,112584315000004.0,125584315000004.0,19
106,StarLight,118266305000002.0,135266305000002.0,48
107,StarLight,120035285000003.0,133035285000003.0,19
108,StarLight,133664055000006.0,143664055000006.0,22
109,StarLight,136373990000006.0,153373990000006.0,22
110,StarLight,136766305000003.0,147766305000003.0,30
111,StarLight,143715240000007.0,159715240000007.0,22
112,StarLight,149768990000004.0,164768990000004.0,44
113,StarLight,153964055000007.0,163964055000007.0,10
114,StarLight,158805795000005.0,176805795000005.0,11
115,StarLight,159754045000008.0,174754045000008.0,20
116,StarLight,164017625000008.0,175017625000008.0,11
117,StarLight,173296840000008.0,183296840000008.0,10
118,StarLight,177080750000005.0,190080750000005.0,24
119,StarLight,180707385000006.0,199707385000006.0,17
120,StarLight,185994475000009.0,203994475000009.0,10
121,StarLight,191132350000010.0,206132350000010.0,22
122,StarLight,200768990000007.0,216768990000007.0,36
123,StarLight,203642105000009.0,216642105000009.0,20
124,StarLight,207432350000011.0,220432350000011.0,11
125,StarLight,212632455000004.0,229632455000004.0,24
126,StarLight,217220380000007.0,227220380000007.0,17
127,StarLight,218042105000010.0,236042105000010.0,20
128,StarLight,220403610000011.0,231403610000011.0,11
129,StarLight,226832545000007.0,245832545000007.0,12
130,StarLight,228151460000012.0,244151460000012.0,20
131,StarLight,237042105000011.0,253042105000011.0,20
132,StarLight,238044160000008.0,248044160000008.0,22
133,StarLight,248851460000013.0,265851460000013.0,20
134,StarLight,253148655000008.0,264148655000008.0,10
135,StarLight,254042105000012.0,271042105000012.0,22
136,StarLight,263056735000012.0,275056735000012.0,22
137,StarLight,272942105000013.0,289942105000013.0,22
138,StarLight,279583560000009.0,292583560000009.0,12
139,StarLight,295156735000014.0,307156735000014.0,22
140,StarLight,300673425000014.0,314673425000014.0,22
141,StarLight,313019920000010.0,326019920000010.0,19
142,StarLight,315942630000010.0,333942630000010.0,16
143,StarLight,315973425000015.0,333973425000015.0,22
144,StarLight,321099020000009.0,332099020000009.0,20
145,StarLight,326259460000016.0,344259460000016.0,10
146,StarLight,335773425000016.0,349773425000016.0,10
147,StarLight,343966795000011.0,356966795000011.0,11
148,StarLight,345259460000017.0,363259460000017.0,20
149,StarLight,351285895000017.0,369285895000017.0,20
150,StarLight,354899020000011.0,372899020000011.0,18
151,StarLight,364073425000017.0,380073425000017.0,11
152,StarLight,364459460000018.0,382459460000018.0,20
153,StarLight,371285680000012.0,383285680000012.0,20
154,StarLight,379589625000012.0,390589625000012.0,20
155,StarLight,381073425000018.0,400073425000018.0,22
156,StarLight,383361975000018.0,398361975000018.0,11
157,StarLight,384985680000013.0,402985680000013.0,20
158,StarLight,391159155000018.0,404159155000018.0,20
159,StarLight,401073425000019.0,413073425000019.0,22
160,StarLight,403868330000020.0,416868330000020.0,20
161,StarLight,405859155000019.0,422859155000019.0,20
162,StarLight,406387270000014.0,420387270000014.0,13
163,StarLight,414073425000020.0,424073425000020.0,22
164,StarLight,418068330000021.0,437068330000021.0,20
165,StarLight,422161000000014.0,440161000000014.0,23
166,StarLight,422987270000015.0,433987270000015.0,13
167,StarLight,424459155000020.0,441459155000020.0,22
168,StarLight,425273425000021.0,443273425000021.0,10
169,StarLight,434987270000016.0,444987270000016.0,13
170,StarLight,437211105000015.0,454211105000015.0,21
171,StarLight,444673425000022.0,456673425000022.0,20
172,StarLight,445371830000022.0,455371830000022.0,22
