,Node,Start_time,End_time,Memory_size
0,NU,1600000000000.0,16600000000000.0,10
1,NU,17600000000001.0,28600000000001.0,11
2,NU,29300500000002.0,39300500000002.0,10
3,NU,30200000000002.0,49200000000002.0,11
4,NU,54010940000003.0,65010940000003.0,10
5,NU,69618620000004.0,84618620000004.0,11
6,NU,82700500000005.0,97700500000005.0,10
7,NU,86218620000005.0,103218620000005.0,10
8,NU,100836025000004.0,115836025000004.0,10
9,NU,112727245000006.0,124727245000006.0,10
10,NU,116049115000004.0,129049115000004.0,15
11,NU,125640800000005.0,140640800000005.0,10
12,NU,130527245000007.0,144527245000007.0,11
13,NU,147131685000008.0,160131685000008.0,11
14,NU,149220530000009.0,159220530000009.0,11
15,NU,161931685000009.0,175931685000009.0,11
16,NU,165660110000005.0,180660110000005.0,12
17,NU,177631685000010.0,187631685000010.0,11
18,NU,180708410000005.0,196708410000005.0,11
19,NU,188510070000005.0,200510070000005.0,10
20,NU,197168855000006.0,210168855000006.0,15
21,NU,201031685000011.0,215031685000011.0,10
22,NU,212115070000006.0,225115070000006.0,11
23,NU,217432480000012.0,234432480000012.0,11
24,NU,238338600000013.0,256338600000013.0,10
25,NU,256341890000009.0,270341890000009.0,10
26,NU,258138600000014.0,268138600000014.0,11
27,NU,270442540000015.0,288442540000015.0,10
28,NU,271185025000009.0,283185025000009.0,15
29,NU,289742540000016.0,301742540000016.0,11
30,NU,291947035000010.0,310947035000010.0,10
31,NU,303642540000017.0,315642540000017.0,10
32,NU,312931935000017.0,324931935000017.0,10
33,NU,316742540000018.0,335742540000018.0,11
34,NU,326415180000012.0,345415180000012.0,14
35,NU,336842540000019.0,352842540000019.0,11
36,NU,353382230000014.0,368382230000014.0,21
37,NU,369642540000020.0,387642540000020.0,11
38,NU,389542540000021.0,405542540000021.0,10
39,NU,407042540000022.0,417042540000022.0,11
40,NU,418442540000023.0,428442540000023.0,11
41,NU,420357175000015.0,439357175000015.0,11
42,NU,428897555000017.0,446897555000017.0,14
43,NU,439543775000021.0,450543775000021.0,10
44,NU,452887645000022.0,471887645000022.0,10
45,NU,454160735000024.0,472160735000024.0,10
46,NU,473460735000025.0,491460735000025.0,11
47,NU,492960735000026.0,509960735000026.0,10
48,NU,514669415000027.0,533669415000027.0,11
49,NU,534158315000026.0,545158315000026.0,10
50,NU,535569415000028.0,548569415000028.0,11
51,NU,548888745000030.0,558888745000030.0,10
52,NU,550069415000029.0,561069415000029.0,11
53,NU,560688745000031.0,576688745000031.0,10
54,NU,577294215000029.0,596294215000029.0,11
55,NU,592776815000030.0,611776815000030.0,10
56,NU,601495075000033.0,620495075000033.0,11
57,NU,620805795000024.0,634805795000024.0,11
58,NU,630290330000031.0,645290330000031.0,11
59,NU,635394215000031.0,654394215000031.0,11
60,NU,645363715000032.0,659363715000032.0,11
61,NU,661439780000026.0,671439780000026.0,22
62,NU,675025575000028.0,689025575000028.0,14
63,NU,681449490000032.0,698449490000032.0,10
64,NU,710384290000033.0,721384290000033.0,10
65,NU,715114295000029.0,732114295000029.0,10
66,NU,731819750000034.0,745819750000034.0,10
67,NU,750995075000041.0,762995075000041.0,11
68,NU,753736110000035.0,764736110000035.0,10
69,NU,763302675000029.0,773302675000029.0,15
70,NU,766240415000037.0,779240415000037.0,10
71,NU,773736110000036.0,791736110000036.0,10
72,NU,794639170000037.0,804639170000037.0,10
73,NU,797110580000031.0,813110580000031.0,11
74,NU,806539170000038.0,819539170000038.0,11
75,NU,818037015000033.0,833037015000033.0,11
76,NU,820839170000039.0,838839170000039.0,10
77,NU,849847120000040.0,865847120000040.0,10
78,NU,867647120000041.0,878647120000041.0,10
79,NU,869875420000034.0,886875420000034.0,10
80,NU,879947120000042.0,895947120000042.0,11
81,NU,896675420000035.0,909675420000035.0,20
82,NU,910447120000043.0,925447120000043.0,11
83,NU,927347120000044.0,945347120000044.0,10
84,NU,940432385000037.0,954432385000037.0,11
85,NU,945801345000050.0,957801345000050.0,11
86,NU,954847120000045.0,964847120000045.0,10
87,NU,970361040000046.0,986361040000046.0,11
88,NU,982835565000039.0,992835565000039.0,13
89,NU,988864100000047.0,1003864100000047.0,10
90,StarLight,1600000000000.0,16600000000000.0,20
91,StarLight,12929535000000.0,24929535000000.0,27
92,StarLight,17600000000001.0,28600000000001.0,11
93,StarLight,29300500000002.0,39300500000002.0,20
94,StarLight,30200000000002.0,49200000000002.0,22
95,StarLight,34354695000001.0,51354695000001.0,22
96,StarLight,54010940000003.0,65010940000003.0,20
97,StarLight,63043695000004.0,76043695000004.0,11
98,StarLight,64700500000004.0,81700500000004.0,22
99,StarLight,65537080000001.0,75537080000001.0,20
100,StarLight,69618620000004.0,84618620000004.0,22
101,StarLight,82700500000005.0,97700500000005.0,20
102,StarLight,86218620000005.0,103218620000005.0,20
103,StarLight,96036785000003.0,111036785000003.0,24
104,StarLight,100836025000004.0,115836025000004.0,20
105,StarLight,101157725000002.0,120157725000002.0,12
106,StarLight,103420530000006.0,115420530000006.0,20
107,StarLight,112727245000006.0,124727245000006.0,20
108,StarLight,116049115000004.0,129049115000004.0,30
109,StarLight,116520530000007.0,133520530000007.0,22
110,StarLight,125640800000005.0,140640800000005.0,20
111,StarLight,129657725000003.0,142657725000003.0,19
112,StarLight,130527245000007.0,144527245000007.0,22
113,StarLight,142140800000006.0,153140800000006.0,11
114,StarLight,144157725000004.0,157157725000004.0,15
115,StarLight,147131685000008.0,160131685000008.0,22
116,StarLight,149220530000009.0,159220530000009.0,22
117,StarLight,159904470000004.0,177904470000004.0,48
118,StarLight,161931685000009.0,175931685000009.0,22
119,StarLight,165660110000005.0,180660110000005.0,12
120,StarLight,177631685000010.0,187631685000010.0,22
121,StarLight,178061940000007.0,193061940000007.0,18
122,StarLight,180708410000005.0,196708410000005.0,22
123,StarLight,188510070000005.0,200510070000005.0,20
124,StarLight,197168855000006.0,210168855000006.0,15
125,StarLight,198208410000006.0,217208410000006.0,30
126,StarLight,200529935000011.0,211529935000011.0,20
127,StarLight,201031685000011.0,215031685000011.0,20
128,StarLight,212115070000006.0,225115070000006.0,22
129,StarLight,215430935000012.0,230430935000012.0,20
130,StarLight,216668855000007.0,226668855000007.0,10
131,StarLight,217432480000012.0,234432480000012.0,22
132,StarLight,225078015000010.0,244078015000010.0,10
133,StarLight,230068855000008.0,247068855000008.0,17
134,StarLight,230441890000007.0,241441890000007.0,22
135,StarLight,231808410000008.0,249808410000008.0,19
136,StarLight,238338600000013.0,256338600000013.0,20
137,StarLight,248968855000009.0,261968855000009.0,10
138,StarLight,256341890000009.0,270341890000009.0,20
139,StarLight,258138600000014.0,268138600000014.0,11
140,StarLight,258687155000012.0,270687155000012.0,11
141,StarLight,263868855000010.0,276868855000010.0,19
142,StarLight,270442540000015.0,288442540000015.0,20
143,StarLight,271185025000009.0,283185025000009.0,30
144,StarLight,271716550000010.0,287716550000010.0,10
145,StarLight,273841525000013.0,285841525000013.0,11
146,StarLight,280568855000011.0,293568855000011.0,10
147,StarLight,289002055000010.0,300002055000010.0,32
148,StarLight,289742540000016.0,301742540000016.0,22
149,StarLight,291947035000010.0,310947035000010.0,20
150,StarLight,301641710000011.0,312641710000011.0,26
151,StarLight,301802055000011.0,312802055000011.0,15
152,StarLight,303642540000017.0,315642540000017.0,20
153,StarLight,312931935000017.0,324931935000017.0,20
154,StarLight,313081435000012.0,330081435000012.0,15
155,StarLight,316742540000018.0,335742540000018.0,22
156,StarLight,326415180000012.0,345415180000012.0,28
157,StarLight,329487155000016.0,340487155000016.0,11
158,StarLight,331781435000013.0,350781435000013.0,19
159,StarLight,336842540000019.0,352842540000019.0,11
160,StarLight,341157175000012.0,360157175000012.0,20
161,StarLight,352776245000019.0,371776245000019.0,22
162,StarLight,353382230000014.0,368382230000014.0,21
163,StarLight,360466270000013.0,379466270000013.0,24
164,StarLight,366784040000014.0,377784040000014.0,19
165,StarLight,369642540000020.0,387642540000020.0,11
166,StarLight,371982230000015.0,389982230000015.0,23
167,StarLight,389542540000021.0,405542540000021.0,20
168,StarLight,395106830000019.0,409106830000019.0,10
169,StarLight,397493820000016.0,413493820000016.0,12
170,StarLight,398567270000015.0,416567270000015.0,30
171,StarLight,406574605000020.0,417574605000020.0,11
172,StarLight,407042540000022.0,417042540000022.0,22
173,StarLight,418442540000023.0,428442540000023.0,22
174,StarLight,420357175000015.0,439357175000015.0,22
175,StarLight,427429040000017.0,438429040000017.0,14
176,StarLight,428897555000017.0,446897555000017.0,28
177,StarLight,439543775000021.0,450543775000021.0,20
178,StarLight,439829040000018.0,452829040000018.0,26
179,StarLight,446082245000024.0,461082245000024.0,10
180,StarLight,451357175000017.0,467357175000017.0,20
181,StarLight,452887645000022.0,471887645000022.0,20
182,StarLight,454160735000024.0,472160735000024.0,20
183,StarLight,455729040000019.0,474729040000019.0,14
184,StarLight,473460735000025.0,491460735000025.0,22
185,StarLight,475829040000020.0,494829040000020.0,26
186,StarLight,477182245000026.0,496182245000026.0,20
187,StarLight,490058315000024.0,503058315000024.0,10
188,StarLight,492960735000026.0,509960735000026.0,20
189,StarLight,494192715000024.0,511192715000024.0,10
190,StarLight,497582245000027.0,509582245000027.0,10
191,StarLight,500434335000021.0,518434335000021.0,15
192,StarLight,508440280000019.0,520440280000019.0,13
193,StarLight,511482245000028.0,521482245000028.0,11
194,StarLight,514669415000027.0,533669415000027.0,22
195,StarLight,534158315000026.0,545158315000026.0,20
196,StarLight,535569415000028.0,548569415000028.0,22
197,StarLight,543477195000022.0,554477195000022.0,12
198,StarLight,546858315000027.0,565858315000027.0,10
199,StarLight,548888745000030.0,558888745000030.0,20
200,StarLight,550069415000029.0,561069415000029.0,22
201,StarLight,555677195000023.0,573677195000023.0,30
202,StarLight,560688745000031.0,576688745000031.0,20
203,StarLight,574877195000024.0,585877195000024.0,19
204,StarLight,577294215000029.0,596294215000029.0,22
205,StarLight,579595075000032.0,591595075000032.0,20
206,StarLight,585198340000022.0,600198340000022.0,13
207,StarLight,592776815000030.0,611776815000030.0,20
208,StarLight,594441295000023.0,611441295000023.0,10
209,StarLight,601495075000033.0,620495075000033.0,22
210,StarLight,601315435000025.0,612315435000025.0,11
211,StarLight,602361450000030.0,616361450000030.0,10
212,StarLight,612523500000023.0,629523500000023.0,30
213,StarLight,612441295000024.0,631441295000024.0,22
214,StarLight,620805795000024.0,634805795000024.0,22
215,StarLight,630290330000031.0,645290330000031.0,22
216,StarLight,631520805000026.0,647520805000026.0,13
217,StarLight,635095075000035.0,653095075000035.0,20
218,StarLight,635394215000031.0,654394215000031.0,22
219,StarLight,645363715000032.0,659363715000032.0,22
220,StarLight,650920805000027.0,666920805000027.0,20
221,StarLight,661063715000033.0,675063715000033.0,11
222,StarLight,661439780000026.0,671439780000026.0,44
223,StarLight,675025575000028.0,689025575000028.0,14
224,StarLight,681295075000037.0,696295075000037.0,11
225,StarLight,681449490000032.0,698449490000032.0,20
226,StarLight,691128720000029.0,704128720000029.0,11
227,StarLight,691854680000026.0,709854680000026.0,17
228,StarLight,699114295000028.0,714114295000028.0,22
229,StarLight,710384290000033.0,721384290000033.0,20
230,StarLight,714595075000039.0,731595075000039.0,22
231,StarLight,715114295000029.0,732114295000029.0,20
232,StarLight,728386605000030.0,739386605000030.0,13
233,StarLight,731819750000034.0,745819750000034.0,20
234,StarLight,733176410000030.0,745176410000030.0,24
235,StarLight,750995075000041.0,762995075000041.0,22
236,StarLight,753040415000036.0,765040415000036.0,10
237,StarLight,753736110000035.0,764736110000035.0,20
238,StarLight,753191930000038.0,763191930000038.0,10
239,StarLight,763302675000029.0,773302675000029.0,30
240,StarLight,766240415000037.0,779240415000037.0,20
241,StarLight,773736110000036.0,791736110000036.0,20
242,StarLight,776971035000042.0,790971035000042.0,22
243,StarLight,777739290000031.0,793739290000031.0,13
244,StarLight,787832575000032.0,804832575000032.0,10
245,StarLight,791971035000043.0,806971035000043.0,22
246,StarLight,794639170000037.0,804639170000037.0,20
247,StarLight,797110580000031.0,813110580000031.0,22
248,StarLight,806539170000038.0,819539170000038.0,11
249,StarLight,807351870000032.0,817351870000032.0,21
250,StarLight,808171035000044.0,823171035000044.0,22
251,StarLight,818037015000033.0,833037015000033.0,22
252,StarLight,820839170000039.0,838839170000039.0,20
253,StarLight,824536200000032.0,840536200000032.0,48
254,StarLight,839675655000030.0,849675655000030.0,41
255,StarLight,840610580000033.0,850610580000033.0,46
256,StarLight,849885540000046.0,868885540000046.0,20
257,StarLight,849847120000040.0,865847120000040.0,20
258,StarLight,862207070000033.0,874207070000033.0,13
259,StarLight,864066320000042.0,881066320000042.0,11
260,StarLight,867647120000041.0,878647120000041.0,20
261,StarLight,869875420000034.0,886875420000034.0,20
262,StarLight,878402925000036.0,895402925000036.0,22
263,StarLight,879947120000042.0,895947120000042.0,22
264,StarLight,883723795000034.0,901723795000034.0,13
265,StarLight,887944065000035.0,904944065000035.0,24
266,StarLight,896675420000035.0,909675420000035.0,40
267,StarLight,904226060000035.0,916226060000035.0,11
268,StarLight,905647520000048.0,923647520000048.0,22
269,StarLight,910447120000043.0,925447120000043.0,22
270,StarLight,918529205000036.0,932529205000036.0,11
271,StarLight,921446750000037.0,933446750000037.0,20
272,StarLight,924005425000038.0,942005425000038.0,22
273,StarLight,927347120000044.0,945347120000044.0,10
274,StarLight,934201345000049.0,944201345000049.0,20
275,StarLight,934612640000048.0,953612640000048.0,11
276,StarLight,940432385000037.0,954432385000037.0,11
277,StarLight,943405425000039.0,959405425000039.0,11
278,StarLight,945801345000050.0,957801345000050.0,22
279,StarLight,947293200000037.0,963293200000037.0,15
280,StarLight,954847120000045.0,964847120000045.0,20
281,StarLight,956632385000038.0,973632385000038.0,13
282,StarLight,960180220000039.0,970180220000039.0,26
283,StarLight,970361040000046.0,986361040000046.0,22
284,StarLight,975248815000038.0,986248815000038.0,24
285,StarLight,975612640000050.0,985612640000050.0,10
286,StarLight,982791880000040.0,998791880000040.0,20
287,StarLight,982835565000039.0,992835565000039.0,13
288,StarLight,988864100000047.0,1003864100000047.0,20
289,StarLight,992348815000039.0,1005348815000039.0,26
290,UChicago_PME,16816780000000.0,33816780000000.0,32
291,UChicago_PME,17966120000000.0,29966120000000.0,20
292,UChicago_PME,30803135000002.0,41803135000002.0,11
293,UChicago_PME,34354695000001.0,51354695000001.0,44
294,UChicago_PME,51643695000003.0,61643695000003.0,20
295,UChicago_PME,52770050000000.0,64770050000000.0,22
296,UChicago_PME,55426120000002.0,74426120000002.0,19
297,UChicago_PME,64700500000004.0,81700500000004.0,22
298,UChicago_PME,65537080000001.0,75537080000001.0,10
299,UChicago_PME,75374550000001.0,85374550000001.0,22
300,UChicago_PME,80134260000003.0,98134260000003.0,22
301,UChicago_PME,84960905000005.0,95960905000005.0,22
302,UChicago_PME,86218620000005.0,103218620000005.0,20
303,UChicago_PME,96036785000003.0,111036785000003.0,24
304,UChicago_PME,102454360000002.0,112454360000002.0,12
305,UChicago_PME,103420530000006.0,115420530000006.0,20
306,UChicago_PME,111426885000006.0,127426885000006.0,20
307,UChicago_PME,116174550000002.0,132174550000002.0,10
308,UChicago_PME,116520530000007.0,133520530000007.0,11
309,UChicago_PME,129657725000003.0,142657725000003.0,19
310,UChicago_PME,132660860000003.0,146660860000003.0,24
311,UChicago_PME,146874550000003.0,164874550000003.0,11
