,Node,Start_time,End_time,Memory_size
0,NU,46962250000000.0,58962250000000.0,10
1,NU,82607980000001.0,95607980000001.0,10
2,NU,108648095000004.0,122648095000004.0,18
3,NU,126937200000002.0,143937200000002.0,12
4,NU,128502245000004.0,141502245000004.0,10
5,NU,144198415000005.0,161198415000005.0,20
6,NU,199885745000004.0,212885745000004.0,12
7,NU,228622600000003.0,241622600000003.0,15
8,NU,243898080000006.0,255898080000006.0,11
9,NU,270773100000004.0,284773100000004.0,11
10,NU,286673100000005.0,297673100000005.0,11
11,NU,289033445000008.0,306033445000008.0,16
12,NU,299173100000006.0,318173100000006.0,16
13,NU,324034115000012.0,335034115000012.0,11
14,NU,383079335000011.0,395079335000011.0,11
15,NU,383138990000009.0,396138990000009.0,10
16,NU,524862735000013.0,536862735000013.0,12
17,NU,539922550000017.0,549922550000017.0,13
18,NU,585435755000007.0,602435755000007.0,12
19,NU,605537345000008.0,623537345000008.0,15
20,NU,706605220000009.0,719605220000009.0,10
21,NU,727382525000016.0,745382525000016.0,11
22,NU,741222885000010.0,751222885000010.0,11
23,NU,749660995000027.0,762660995000027.0,12
24,NU,751996500000016.0,765996500000016.0,11
25,NU,776194690000022.0,786194690000022.0,11
26,NU,815280360000018.0,834280360000018.0,11
27,NU,832480410000028.0,849480410000028.0,13
28,NU,838891295000019.0,857891295000019.0,11
29,NU,870185705000029.0,888185705000029.0,11
30,NU,919692715000011.0,934692715000011.0,11
31,NU,956222735000012.0,974222735000012.0,13
32,NU,975822735000013.0,989822735000013.0,21
33,NU,994936655000014.0,1013936655000014.0,10
34,StarLight,1100000000000.0,18100000000000.0,17
35,StarLight,1300000000000.0,13300000000000.0,24
36,StarLight,18553005000000.0,33553005000000.0,22
37,StarLight,20809500000000.0,39809500000000.0,11
38,StarLight,21300000000001.0,36300000000001.0,15
39,StarLight,46962250000000.0,58962250000000.0,20
40,StarLight,68972365000001.0,83972365000001.0,13
41,StarLight,82607980000001.0,95607980000001.0,20
42,StarLight,88963390000003.0,107963390000003.0,24
43,StarLight,96237000000001.0,111237000000001.0,14
44,StarLight,108648095000004.0,122648095000004.0,36
45,StarLight,113402245000003.0,127402245000003.0,12
46,StarLight,126937200000002.0,143937200000002.0,24
47,StarLight,128502245000004.0,141502245000004.0,20
48,StarLight,144198415000005.0,161198415000005.0,40
49,StarLight,162067665000002.0,174067665000002.0,24
50,StarLight,163600605000002.0,173600605000002.0,15
51,StarLight,174751000000004.0,191751000000004.0,14
52,StarLight,175036155000006.0,186036155000006.0,34
53,StarLight,186285745000003.0,198285745000003.0,26
54,StarLight,197769765000003.0,211769765000003.0,18
55,StarLight,199885745000004.0,212885745000004.0,24
56,StarLight,212114725000003.0,222114725000003.0,17
57,StarLight,228622600000003.0,241622600000003.0,30
58,StarLight,228328150000004.0,240328150000004.0,14
59,StarLight,241328150000005.0,251328150000005.0,16
60,StarLight,243898080000006.0,255898080000006.0,22
61,StarLight,255433445000006.0,273433445000006.0,13
62,StarLight,270773100000004.0,284773100000004.0,22
63,StarLight,274733445000007.0,287733445000007.0,14
64,StarLight,286673100000005.0,297673100000005.0,22
65,StarLight,289033445000008.0,306033445000008.0,16
66,StarLight,299173100000006.0,318173100000006.0,32
67,StarLight,307933445000009.0,323933445000009.0,11
68,StarLight,318904775000009.0,329904775000009.0,20
69,StarLight,324034115000012.0,335034115000012.0,22
70,StarLight,331294200000006.0,343294200000006.0,28
71,StarLight,341115530000006.0,352115530000006.0,14
72,StarLight,346094700000007.0,358094700000007.0,14
73,StarLight,363179335000010.0,381179335000010.0,13
74,StarLight,363620020000008.0,381620020000008.0,26
75,StarLight,383079335000011.0,395079335000011.0,11
76,StarLight,383138990000009.0,396138990000009.0,20
77,StarLight,397249035000009.0,412249035000009.0,22
78,StarLight,411738030000008.0,422738030000008.0,10
79,StarLight,414135945000012.0,427135945000012.0,11
80,StarLight,418451535000010.0,431451535000010.0,28
81,StarLight,432346685000013.0,451346685000013.0,13
82,StarLight,433925045000008.0,451925045000008.0,26
83,StarLight,444335015000014.0,463335015000014.0,11
84,StarLight,454327730000009.0,473327730000009.0,28
85,StarLight,461750215000014.0,476750215000014.0,10
86,StarLight,473800275000011.0,488800275000011.0,24
87,StarLight,474827730000010.0,485827730000010.0,10
88,StarLight,484358735000011.0,497358735000011.0,14
89,StarLight,486827730000011.0,497827730000011.0,11
90,StarLight,489065940000015.0,505065940000015.0,10
91,StarLight,490903460000012.0,503903460000012.0,12
92,StarLight,499127730000012.0,518127730000012.0,15
93,StarLight,507194825000011.0,524194825000011.0,12
94,StarLight,524862735000013.0,536862735000013.0,24
95,StarLight,524222550000016.0,535222550000016.0,13
96,StarLight,536853735000013.0,547853735000013.0,26
97,StarLight,536898555000012.0,553898555000012.0,10
98,StarLight,539922550000017.0,549922550000017.0,13
99,StarLight,549253735000014.0,559253735000014.0,10
100,StarLight,550224330000014.0,569224330000014.0,28
101,StarLight,555322550000018.0,574322550000018.0,10
102,StarLight,569372380000017.0,585372380000017.0,26
103,StarLight,576022550000019.0,587022550000019.0,14
104,StarLight,585435755000007.0,602435755000007.0,24
105,StarLight,588122550000020.0,602122550000020.0,17
106,StarLight,603268795000014.0,615268795000014.0,20
107,StarLight,605537345000008.0,623537345000008.0,30
108,StarLight,618044175000013.0,631044175000013.0,14
109,StarLight,623738275000021.0,640738275000021.0,12
110,StarLight,627753070000016.0,640753070000016.0,24
111,StarLight,641353735000018.0,653353735000018.0,48
112,StarLight,653596270000015.0,672596270000015.0,28
113,StarLight,654453735000019.0,671453735000019.0,11
114,StarLight,656740040000022.0,669740040000022.0,10
115,StarLight,673346330000023.0,689346330000023.0,13
116,StarLight,673193650000020.0,692193650000020.0,22
117,StarLight,690160995000024.0,706160995000024.0,21
118,StarLight,693246330000024.0,710246330000024.0,16
119,StarLight,704154440000017.0,718154440000017.0,13
120,StarLight,706605220000009.0,719605220000009.0,20
121,StarLight,712946330000025.0,726946330000025.0,13
122,StarLight,720365985000021.0,736365985000021.0,28
123,StarLight,727382525000016.0,745382525000016.0,22
124,StarLight,741222885000010.0,751222885000010.0,22
125,StarLight,749660995000027.0,762660995000027.0,24
126,StarLight,751996500000016.0,765996500000016.0,22
127,StarLight,763134750000020.0,776134750000020.0,26
128,StarLight,766363980000026.0,780363980000026.0,18
129,StarLight,776194690000022.0,786194690000022.0,22
130,StarLight,780803000000017.0,798803000000017.0,23
131,StarLight,786541095000023.0,800541095000023.0,22
132,StarLight,799803000000018.0,812803000000018.0,11
133,StarLight,802141095000024.0,815141095000024.0,15
134,StarLight,813088690000027.0,831088690000027.0,10
135,StarLight,815280360000018.0,834280360000018.0,22
136,StarLight,832480410000028.0,849480410000028.0,26
137,StarLight,838891295000019.0,857891295000019.0,22
138,StarLight,849834430000022.0,868834430000022.0,24
139,StarLight,858963750000025.0,876963750000025.0,24
140,StarLight,870185705000029.0,888185705000029.0,22
141,StarLight,877625455000020.0,887625455000020.0,24
142,StarLight,901423990000028.0,911423990000028.0,10
143,StarLight,904157030000026.0,921157030000026.0,22
144,StarLight,919692715000011.0,934692715000011.0,22
145,StarLight,922142785000029.0,939142785000029.0,17
146,StarLight,939801060000027.0,950801060000027.0,30
147,StarLight,956222735000012.0,974222735000012.0,26
148,StarLight,975822735000013.0,989822735000013.0,42
149,StarLight,994936655000014.0,1013936655000014.0,20
150,UChicago_PME,18553005000000.0,33553005000000.0,11
151,UChicago_PME,40473355000001.0,51473355000001.0,11
152,UChicago_PME,58997775000002.0,76997775000002.0,14
153,UChicago_PME,68300000000002.0,81300000000002.0,24
154,UChicago_PME,78097775000003.0,91097775000003.0,21
155,UChicago_PME,88963390000003.0,107963390000003.0,12
156,UChicago_PME,108648095000004.0,122648095000004.0,18
157,UChicago_PME,112302635000004.0,131302635000004.0,22
158,UChicago_PME,127443330000000.0,138443330000000.0,24
159,UChicago_PME,140547900000001.0,151547900000001.0,26
160,UChicago_PME,144198415000005.0,161198415000005.0,20
161,UChicago_PME,162067665000002.0,174067665000002.0,24
162,UChicago_PME,175036155000006.0,186036155000006.0,17
163,UChicago_PME,186285745000003.0,198285745000003.0,26
164,UChicago_PME,192256505000007.0,206256505000007.0,14
165,UChicago_PME,199885745000004.0,212885745000004.0,24
166,UChicago_PME,222518915000008.0,236518915000008.0,22
167,UChicago_PME,241328150000005.0,251328150000005.0,32
168,UChicago_PME,243322985000009.0,255322985000009.0,12
169,UChicago_PME,252285275000006.0,270285275000006.0,36
170,UChicago_PME,274733445000007.0,287733445000007.0,28
171,UChicago_PME,281527055000010.0,294527055000010.0,20
172,UChicago_PME,299427055000011.0,312427055000011.0,34
173,UChicago_PME,301004775000008.0,315004775000008.0,16
174,UChicago_PME,315182765000005.0,326182765000005.0,36
175,UChicago_PME,318904775000009.0,329904775000009.0,10
176,UChicago_PME,331294200000006.0,343294200000006.0,28
177,UChicago_PME,335911275000008.0,345911275000008.0,10
178,UChicago_PME,346094700000007.0,358094700000007.0,28
179,UChicago_PME,352569895000010.0,366569895000010.0,11
180,UChicago_PME,363620020000008.0,381620020000008.0,26
181,UChicago_PME,381322805000011.0,400322805000011.0,14
182,UChicago_PME,397249035000009.0,412249035000009.0,22
183,UChicago_PME,401322805000012.0,417322805000012.0,22
184,UChicago_PME,414135945000012.0,427135945000012.0,22
185,UChicago_PME,418451535000010.0,431451535000010.0,28
186,UChicago_PME,430835015000013.0,442835015000013.0,14
187,UChicago_PME,433134115000015.0,445134115000015.0,10
188,UChicago_PME,433925045000008.0,451925045000008.0,26
189,UChicago_PME,444335015000014.0,463335015000014.0,11
190,UChicago_PME,452552735000010.0,470552735000010.0,24
191,UChicago_PME,454327730000009.0,473327730000009.0,14
192,UChicago_PME,470643155000015.0,485643155000015.0,20
193,UChicago_PME,473800275000011.0,488800275000011.0,24
194,UChicago_PME,485773145000017.0,503773145000017.0,17
195,UChicago_PME,489065940000015.0,505065940000015.0,10
196,UChicago_PME,497584555000011.0,507584555000011.0,22
197,UChicago_PME,507194825000011.0,524194825000011.0,24
198,UChicago_PME,508487925000016.0,524487925000016.0,23
199,UChicago_PME,524222550000016.0,535222550000016.0,26
200,UChicago_PME,536853735000013.0,547853735000013.0,13
201,UChicago_PME,549038885000012.0,560038885000012.0,20
202,UChicago_PME,550224330000014.0,569224330000014.0,28
203,UChicago_PME,561338885000013.0,578338885000013.0,12
204,UChicago_PME,569372380000017.0,585372380000017.0,13
205,UChicago_PME,576022550000019.0,587022550000019.0,14
206,UChicago_PME,588122550000020.0,602122550000020.0,17
207,UChicago_PME,603268795000014.0,615268795000014.0,20
208,UChicago_PME,603037500000018.0,613037500000018.0,14
209,UChicago_PME,605537345000008.0,623537345000008.0,15
210,UChicago_PME,614737500000019.0,630737500000019.0,11
211,UChicago_PME,623738275000021.0,640738275000021.0,24
212,UChicago_PME,627753070000016.0,640753070000016.0,12
213,UChicago_PME,641353735000018.0,653353735000018.0,48
214,UChicago_PME,653596270000015.0,672596270000015.0,28
215,UChicago_PME,662157465000023.0,673157465000023.0,10
216,UChicago_PME,673346330000023.0,689346330000023.0,26
217,UChicago_PME,673193650000020.0,692193650000020.0,11
218,UChicago_PME,674245675000016.0,688245675000016.0,13
219,UChicago_PME,707084000000015.0,725084000000015.0,22
220,UChicago_PME,712946330000025.0,726946330000025.0,13
221,UChicago_PME,720365985000021.0,736365985000021.0,14
222,UChicago_PME,727382525000016.0,745382525000016.0,22
223,UChicago_PME,736860995000026.0,746860995000026.0,20
224,UChicago_PME,747182525000017.0,763182525000017.0,20
225,UChicago_PME,749478195000022.0,765478195000022.0,16
226,UChicago_PME,763134750000020.0,776134750000020.0,13
227,UChicago_PME,786541095000023.0,800541095000023.0,11
228,UChicago_PME,799093940000018.0,817093940000018.0,26
229,UChicago_PME,802141095000024.0,815141095000024.0,15
230,UChicago_PME,815280360000018.0,834280360000018.0,22
231,UChicago_PME,838891295000019.0,857891295000019.0,22
232,UChicago_PME,849834430000022.0,868834430000022.0,12
233,UChicago_PME,858963750000025.0,876963750000025.0,12
234,UChicago_PME,877625455000020.0,887625455000020.0,48
235,UChicago_PME,888725455000021.0,904725455000021.0,26
236,UChicago_PME,904157030000026.0,921157030000026.0,11
237,UChicago_PME,911744735000022.0,925744735000022.0,26
238,UChicago_PME,926130440000021.0,938130440000021.0,24
239,UChicago_PME,934752805000023.0,945752805000023.0,22
240,UChicago_PME,939801060000027.0,950801060000027.0,15
241,UChicago_PME,975057500000022.0,990057500000022.0,22
242,UChicago_PME,975822735000013.0,989822735000013.0,21
243,UChicago_PME,990755940000022.0,1006755940000022.0,34
244,UChicago_HC,68300000000002.0,81300000000002.0,12
245,UChicago_HC,78097775000003.0,91097775000003.0,21
246,UChicago_HC,112302635000004.0,131302635000004.0,11
247,UChicago_HC,127443330000000.0,138443330000000.0,12
248,UChicago_HC,140547900000001.0,151547900000001.0,13
249,UChicago_HC,162067665000002.0,174067665000002.0,12
250,UChicago_HC,186285745000003.0,198285745000003.0,13
251,UChicago_HC,199885745000004.0,212885745000004.0,12
252,UChicago_HC,222518915000008.0,236518915000008.0,11
253,UChicago_HC,241328150000005.0,251328150000005.0,16
254,UChicago_HC,252285275000006.0,270285275000006.0,18
255,UChicago_HC,274733445000007.0,287733445000007.0,14
256,UChicago_HC,281527055000010.0,294527055000010.0,10
257,UChicago_HC,299427055000011.0,312427055000011.0,17
258,UChicago_HC,315182765000005.0,326182765000005.0,18
259,UChicago_HC,331294200000006.0,343294200000006.0,14
260,UChicago_HC,346094700000007.0,358094700000007.0,14
261,UChicago_HC,363620020000008.0,381620020000008.0,13
262,UChicago_HC,397249035000009.0,412249035000009.0,11
263,UChicago_HC,401322805000012.0,417322805000012.0,22
264,UChicago_HC,414135945000012.0,427135945000012.0,11
265,UChicago_HC,418451535000010.0,431451535000010.0,14
266,UChicago_HC,433925045000008.0,451925045000008.0,13
267,UChicago_HC,452552735000010.0,470552735000010.0,12
268,UChicago_HC,473800275000011.0,488800275000011.0,12
269,UChicago_HC,497584555000011.0,507584555000011.0,11
270,UChicago_HC,507194825000011.0,524194825000011.0,12
271,UChicago_HC,524222550000016.0,535222550000016.0,13
272,UChicago_HC,549038885000012.0,560038885000012.0,10
273,UChicago_HC,550224330000014.0,569224330000014.0,14
