,Node,Start_time,End_time,Memory_size
0,NU,37633915000000.0,49633915000000.0,11
1,NU,60156955000001.0,75156955000001.0,19
2,NU,75300000000002.0,89300000000002.0,21
3,NU,90067290000002.0,106067290000002.0,19
4,NU,140327880000005.0,157327880000005.0,13
5,NU,168245890000004.0,182245890000004.0,13
6,NU,185588460000002.0,195588460000002.0,10
7,NU,207754480000008.0,225754480000008.0,17
8,NU,209549420000006.0,224549420000006.0,13
9,NU,226436170000007.0,236436170000007.0,12
10,NU,232275045000003.0,250275045000003.0,13
11,NU,260382200000004.0,279382200000004.0,13
12,NU,283789955000005.0,293789955000005.0,10
13,NU,303696315000006.0,320696315000006.0,10
14,NU,332705060000007.0,346705060000007.0,11
15,NU,384429070000010.0,396429070000010.0,13
16,NU,458401990000014.0,470401990000014.0,10
17,NU,503237715000008.0,516237715000008.0,10
18,NU,514438905000017.0,532438905000017.0,14
19,NU,532749640000009.0,549749640000009.0,11
20,NU,547573800000013.0,560573800000013.0,20
21,NU,551192370000018.0,569192370000018.0,13
22,NU,562555205000010.0,577555205000010.0,12
23,NU,577867010000010.0,594867010000010.0,12
24,NU,582311830000013.0,592311830000013.0,10
25,NU,592355640000009.0,610355640000009.0,11
26,NU,676715455000016.0,686715455000016.0,18
27,NU,732420965000011.0,743420965000011.0,10
28,NU,767570705000010.0,778570705000010.0,14
29,NU,788932750000017.0,802932750000017.0,12
30,NU,817489740000012.0,835489740000012.0,10
31,NU,838576245000018.0,853576245000018.0,11
32,NU,856516230000013.0,866516230000013.0,12
33,NU,873826370000014.0,888826370000014.0,16
34,NU,916303670000021.0,935303670000021.0,12
35,NU,928059265000015.0,942059265000015.0,11
36,NU,942407060000021.0,960407060000021.0,12
37,NU,960413520000036.0,974413520000036.0,14
38,NU,976226765000012.0,994226765000012.0,11
39,StarLight,1800000000000.0,17800000000000.0,15
40,StarLight,1100000000000.0,18100000000000.0,17
41,StarLight,1800000000000.0,20800000000000.0,14
42,StarLight,21300000000001.0,36300000000001.0,15
43,StarLight,23701765000001.0,41701765000001.0,20
44,StarLight,37633915000000.0,49633915000000.0,22
45,StarLight,60156955000001.0,75156955000001.0,38
46,StarLight,75300000000002.0,89300000000002.0,42
47,StarLight,90067290000002.0,106067290000002.0,38
48,StarLight,106922510000003.0,118922510000003.0,32
49,StarLight,108500000000004.0,127500000000004.0,11
50,StarLight,120178545000001.0,139178545000001.0,28
51,StarLight,123842360000002.0,138842360000002.0,11
52,StarLight,136444500000003.0,155444500000003.0,11
53,StarLight,140327880000005.0,157327880000005.0,26
54,StarLight,151545890000003.0,166545890000003.0,12
55,StarLight,156906165000006.0,172906165000006.0,10
56,StarLight,163078695000003.0,178078695000003.0,22
57,StarLight,168245890000004.0,182245890000004.0,13
58,StarLight,179378695000004.0,191378695000004.0,24
59,StarLight,185588460000002.0,195588460000002.0,20
60,StarLight,191954480000007.0,205954480000007.0,26
61,StarLight,195949420000005.0,207949420000005.0,13
62,StarLight,207754480000008.0,225754480000008.0,34
63,StarLight,209549420000006.0,224549420000006.0,13
