,Node,Start_time,End_time,Memory_size
0,NU,1000000000000.0,12000000000000.0,10
1,NU,14602560000001.0,28602560000001.0,10
2,NU,33114380000002.0,44114380000002.0,11
3,NU,49324620000003.0,60324620000003.0,10
4,NU,62124620000004.0,78124620000004.0,11
5,NU,64012640000003.0,78012640000003.0,11
6,NU,79824620000005.0,93824620000005.0,10
7,NU,90849915000004.0,105849915000004.0,12
8,NU,101645500000006.0,119645500000006.0,11
9,NU,117776165000005.0,129776165000005.0,10
10,NU,121245500000007.0,133245500000007.0,11
11,NU,132746870000004.0,150746870000004.0,14
12,NU,141563420000008.0,154563420000008.0,10
13,NU,158827315000008.0,169827315000008.0,10
14,NU,159475360000009.0,173475360000009.0,10
15,NU,173728315000009.0,183728315000009.0,10
16,NU,175275360000010.0,190275360000010.0,10
17,NU,186714140000010.0,200714140000010.0,10
18,NU,190855750000007.0,202855750000007.0,14
19,NU,202981480000011.0,217981480000011.0,11
20,NU,217514640000012.0,230514640000012.0,10
21,NU,219781480000012.0,229781480000012.0,10
22,NU,230881480000013.0,245881480000013.0,10
23,NU,246880370000008.0,260880370000008.0,20
24,NU,260881480000014.0,279881480000014.0,11
25,NU,281141905000014.0,294141905000014.0,10
26,NU,283064735000007.0,295064735000007.0,13
27,NU,294386255000015.0,309386255000015.0,10
28,NU,296596725000010.0,309596725000010.0,14
29,NU,310386730000010.0,320386730000010.0,18
30,NU,322687525000011.0,339687525000011.0,15
31,NU,325418450000012.0,339418450000012.0,10
32,NU,341318450000013.0,352318450000013.0,11
33,NU,347013295000016.0,361013295000016.0,10
34,NU,352973145000019.0,371973145000019.0,11
35,NU,362613295000017.0,373613295000017.0,11
36,NU,372594695000012.0,382594695000012.0,12
37,NU,375013295000018.0,385013295000018.0,10
38,NU,385129490000012.0,395129490000012.0,18
39,NU,395213295000019.0,408213295000019.0,11
40,NU,399152205000013.0,416152205000013.0,11
41,NU,408485340000019.0,426485340000019.0,10
42,NU,416413295000020.0,435413295000020.0,11
43,NU,440629055000021.0,456629055000021.0,10
44,NU,458877890000015.0,470877890000015.0,21
45,NU,471233035000022.0,487233035000022.0,11
46,NU,480061345000020.0,496061345000020.0,11
47,NU,496339395000023.0,515339395000023.0,11
48,NU,513430210000027.0,529430210000027.0,11
49,NU,516639395000024.0,532639395000024.0,10
50,NU,546287175000025.0,565287175000025.0,11
51,NU,566887175000026.0,582887175000026.0,10
52,NU,571377885000025.0,589377885000025.0,11
53,NU,583456880000022.0,595456880000022.0,13
54,NU,590387175000027.0,603387175000027.0,10
55,NU,604387175000028.0,614387175000028.0,11
56,NU,615387175000029.0,631387175000029.0,10
57,NU,619692270000023.0,636692270000023.0,14
58,NU,631860140000031.0,644860140000031.0,11
59,NU,637396195000029.0,652396195000029.0,11
60,NU,663014280000030.0,681014280000030.0,11
61,NU,675301700000037.0,686301700000037.0,10
62,NU,682814280000031.0,694814280000031.0,11
63,NU,689096195000032.0,702096195000032.0,10
64,NU,695168130000035.0,710168130000035.0,11
65,NU,702714280000032.0,719714280000032.0,10
66,NU,710479850000034.0,729479850000034.0,11
67,NU,721614280000033.0,736614280000033.0,10
68,NU,741701700000041.0,760701700000041.0,11
69,NU,743296195000035.0,759296195000035.0,10
70,NU,759486895000030.0,769486895000030.0,13
71,NU,763645600000034.0,774645600000034.0,11
72,NU,798507420000035.0,810507420000035.0,10
73,NU,812007420000036.0,825007420000036.0,10
74,NU,827911360000037.0,843911360000037.0,11
75,NU,848313745000038.0,860313745000038.0,11
76,NU,862178240000035.0,874178240000035.0,12
77,NU,871442080000039.0,884442080000039.0,10
78,NU,875483805000045.0,886483805000045.0,10
79,NU,887246605000034.0,898246605000034.0,14
80,NU,898154305000040.0,909154305000040.0,10
81,NU,899344210000043.0,909344210000043.0,11
82,NU,909778055000035.0,922778055000035.0,15
83,NU,913759835000041.0,927759835000041.0,10
84,NU,928759835000042.0,938759835000042.0,11
85,NU,945173135000043.0,963173135000043.0,11
86,NU,964673135000044.0,974673135000044.0,11
87,NU,976073135000045.0,986073135000045.0,10
88,NU,987673135000046.0,1004673135000046.0,11
89,StarLight,1100000000000.0,18100000000000.0,10
90,StarLight,1900000000000.0,19900000000000.0,27
91,StarLight,1000000000000.0,12000000000000.0,20
92,StarLight,1500000000000.0,16500000000000.0,20
93,StarLight,14602560000001.0,28602560000001.0,20
94,StarLight,19110690000001.0,32110690000001.0,32
95,StarLight,33114380000002.0,44114380000002.0,22
96,StarLight,33517650000001.0,43517650000001.0,14
97,StarLight,46512640000002.0,62512640000002.0,22
98,StarLight,49324620000003.0,60324620000003.0,20
99,StarLight,50031075000002.0,65031075000002.0,12
100,StarLight,60802000000003.0,78802000000003.0,10
101,StarLight,62124620000004.0,78124620000004.0,11
102,StarLight,64012640000003.0,78012640000003.0,22
103,StarLight,66931075000003.0,85931075000003.0,10
104,StarLight,79824620000005.0,93824620000005.0,20
105,StarLight,87031075000004.0,101031075000004.0,22
106,StarLight,90849915000004.0,105849915000004.0,24
107,StarLight,97427170000003.0,111427170000003.0,13
108,StarLight,101645500000006.0,119645500000006.0,22
109,StarLight,110757475000004.0,128757475000004.0,20
110,StarLight,114662525000005.0,128662525000005.0,13
111,StarLight,117776165000005.0,129776165000005.0,20
112,StarLight,121245500000007.0,133245500000007.0,11
113,StarLight,132746870000004.0,150746870000004.0,28
114,StarLight,141563420000008.0,154563420000008.0,20
115,StarLight,144127315000007.0,157127315000007.0,10
116,StarLight,158827315000008.0,169827315000008.0,20
117,StarLight,159475360000009.0,173475360000009.0,20
118,StarLight,159433055000009.0,173433055000009.0,10
119,StarLight,167014140000009.0,185014140000009.0,10
120,StarLight,173728315000009.0,183728315000009.0,20
121,StarLight,175275360000010.0,190275360000010.0,20
122,StarLight,184453275000006.0,202453275000006.0,15
123,StarLight,186714140000010.0,200714140000010.0,20
124,StarLight,190855750000007.0,202855750000007.0,28
125,StarLight,195857475000007.0,210857475000007.0,22
126,StarLight,202981480000011.0,217981480000011.0,22
