,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Fermilab_1,18421570000000.0,36421570000000.0,13,0.8738134479590757,18421570000000.0,10.0
1,NU,UChicago_PME,38321570000001.0,52321570000001.0,11,0.8638299004792818,1900000000000.0,86.28571428571429
2,NU,Fermilab_2,115605765000002.0,133605765000002.0,10,0.8908271403172254,63284195000000.0,4.833333333333334
3,NU,StarLight,146314510000003.0,159314510000003.0,13,0.8157123701374938,12708745000000.0,526.3846153846154
4,NU,UChicago_PME,190441505000004.0,204441505000004.0,16,0.9458129488104776,31126995000000.0,124.50000000000001
5,NU,Argonne_2,390750355000005.0,409750355000005.0,12,0.8651759076326363,186308850000000.0,15.631578947368423
6,NU,Argonne_2,450484890000006.0,464484890000006.0,12,0.8062371340814434,40734535000000.0,16.785714285714285
7,NU,StarLight,465984890000007.0,483984890000007.0,17,0.8031575030080182,1500000000000.0,684.6111111111111
8,NU,UChicago_HC,544741230000008.0,554741230000008.0,12,0.9675494906237911,60756340000000.0,26.6
9,NU,Argonne_3,607088835000009.0,621088835000009.0,11,0.9010640939567893,52347605000000.0,13.428571428571429
10,NU,Argonne_3,646713210000010.0,656713210000010.0,13,0.9588733854724351,25624375000000.0,8.4
11,NU,Argonne_1,686344295000011.0,696344295000011.0,14,0.894103951075988,29631085000000.0,29.099999999999998
12,NU,Fermilab_2,701049365000012.0,711049365000012.0,12,0.9581402616771776,4705070000000.0,3.0
13,NU,Fermilab_1,741518065000013.0,751518065000013.0,14,0.8194010208069028,30468700000000.0,12.8
14,NU,Argonne_3,894358400000014.0,911358400000014.0,11,0.9177228000730661,142840335000000.0,15.058823529411764
15,NU,Argonne_3,981217755000015.0,996217755000015.0,12,0.9700430949342913,69859355000000.0,3.666666666666667
16,StarLight,Argonne_3,13917650000000.0,27917650000000.0,13,0.9551371380490388,13917650000000.0,27.142857142857142
17,StarLight,Argonne_2,73347655000001.0,85347655000001.0,13,0.8087884015922767,45430005000000.0,28.416666666666664
18,StarLight,Argonne_1,94058245000002.0,108058245000002.0,11,0.8935460433628193,8710590000000.0,36.07142857142857
19,StarLight,Fermilab_2,145201205000003.0,155201205000003.0,17,0.918058196457943,37142960000000.0,13.3
20,StarLight,UChicago_PME,159101205000004.0,173101205000004.0,12,0.8224811482985158,3900000000000.0,150.85714285714286
21,StarLight,Fermilab_2,174501205000005.0,190501205000005.0,15,0.9922701689472914,1400000000000.0,0.4375
22,StarLight,UChicago_HC,193104350000006.0,203104350000006.0,12,0.9270452367799427,2603145000000.0,88.89999999999999
23,StarLight,Argonne_1,206806115000007.0,224806115000007.0,11,0.9528060176876938,3701765000000.0,37.88888888888889
24,StarLight,Argonne_3,244609645000008.0,254609645000008.0,10,0.9755382733299067,19803530000000.0,10.399999999999999
25,StarLight,Fermilab_2,283828440000009.0,295828440000009.0,14,0.822543398344574,29218795000000.0,10.416666666666666
26,StarLight,Argonne_2,338581390000010.0,349581390000010.0,10,0.9505464272734011,42752950000000.0,22.545454545454547
27,StarLight,Argonne_2,360495510000011.0,377495510000011.0,13,0.942535135212293,10914120000000.0,29.0
28,StarLight,Argonne_2,420818455000012.0,438818455000012.0,24,0.8946805175514331,43322945000000.0,53.55555555555556
29,StarLight,Fermilab_2,484542620000013.0,502542620000013.0,10,0.8183108146432473,45724165000000.0,7.555555555555556
30,StarLight,Argonne_1,527160270000014.0,542160270000014.0,14,0.9159078715036719,24617650000000.0,44.400000000000006
31,StarLight,UChicago_PME,554375995000015.0,564375995000015.0,24,0.9541027963069361,12215725000000.0,286.7
32,StarLight,UChicago_HC,573975995000016.0,588975995000016.0,19,0.8512624766320293,9600000000000.0,144.0
33,StarLight,Argonne_2,648809530000017.0,663809530000017.0,11,0.8687676250028787,59833535000000.0,22.333333333333332
34,StarLight,UChicago_PME,672209530000018.0,689209530000018.0,12,0.9216196638914473,8400000000000.0,146.58823529411765
35,StarLight,Argonne_1,693913060000019.0,707913060000019.0,14,0.9925826636760392,4703530000000.0,22.57142857142857
36,StarLight,Argonne_2,771776600000020.0,786776600000020.0,12,0.8896144205898815,63863540000000.0,28.46666666666667
37,StarLight,Fermilab_1,788176600000021.0,804176600000021.0,19,0.9015739136489254,1400000000000.0,25.1875
38,StarLight,Fermilab_1,814576600000022.0,831576600000022.0,22,0.8569068785847926,10400000000000.0,29.52941176470588
39,StarLight,Fermilab_1,832776600000023.0,850776600000023.0,18,0.8621059276345111,1200000000000.0,21.833333333333332
40,StarLight,Argonne_3,862585425000024.0,875585425000024.0,10,0.8279046741056588,11808825000000.0,21.76923076923077
41,StarLight,Argonne_3,941206605000025.0,957206605000025.0,13,0.9223223157390253,65621180000000.0,26.375
42,StarLight,NU,960106605000026.0,975106605000026.0,14,0.867090484706144,2900000000000.0,451.73333333333335
43,StarLight,UChicago_PME,977206605000027.0,992206605000027.0,20,0.9352754480913228,2100000000000.0,247.86666666666665
44,UChicago_PME,Argonne_1,15352910000000.0,33352910000000.0,14,0.8637421676971033,15352910000000.0,34.388888888888886
45,UChicago_PME,Argonne_3,113119780000001.0,130119780000001.0,15,0.8789337162597206,79766870000000.0,23.411764705882355
46,UChicago_PME,Fermilab_2,155370100000002.0,169370100000002.0,12,0.988946617218536,25250320000000.0,0.0
47,UChicago_PME,Argonne_2,182406730000003.0,195406730000003.0,10,0.9889277950787237,13036630000000.0,1.7692307692307692
48,UChicago_PME,Fermilab_2,205109875000004.0,219109875000004.0,16,0.8706605932242794,9703145000000.0,8.5
49,UChicago_PME,Argonne_3,223013945000005.0,235013945000005.0,11,0.9471419745875083,3904070000000.0,15.166666666666666
50,UChicago_PME,Argonne_2,237213945000006.0,255213945000006.0,13,0.9788485725221419,2200000000000.0,9.444444444444445
51,UChicago_PME,Fermilab_1,259223380000007.0,271223380000007.0,13,0.8212548715323025,4009435000000.0,12.333333333333332
52,UChicago_PME,Fermilab_2,296448540000008.0,308448540000008.0,14,0.9922340817234686,25225160000000.0,0.0
53,UChicago_PME,UChicago_HC,327948540000009.0,341948540000009.0,14,0.9682624430620604,19500000000000.0,1605.2857142857142
54,UChicago_PME,NU,352257975000010.0,366257975000010.0,14,0.9564002740926245,10309435000000.0,83.28571428571428
55,UChicago_PME,Argonne_1,377657975000011.0,392657975000011.0,22,0.9396607626234847,11400000000000.0,57.333333333333336
56,UChicago_PME,UChicago_HC,394357975000012.0,407357975000012.0,21,0.8007407561980553,1700000000000.0,2412.076923076923
57,UChicago_PME,Fermilab_1,414584900000013.0,432584900000013.0,13,0.8319801489400943,7226925000000.0,9.333333333333334
58,UChicago_PME,NU,457103770000014.0,470103770000014.0,12,0.8802867897007518,24518870000000.0,76.84615384615384
59,UChicago_PME,Argonne_3,496468890000015.0,512468890000015.0,10,0.899529044983315,26365120000000.0,16.625
60,UChicago_PME,UChicago_HC,514968890000016.0,532968890000016.0,16,0.9613173836223804,2500000000000.0,1852.5555555555557
61,UChicago_PME,NU,534468890000017.0,544468890000017.0,10,0.9021651292577294,1500000000000.0,59.099999999999994
62,UChicago_PME,NU,565172035000018.0,584172035000018.0,11,0.8166206249714655,20703145000000.0,70.42105263157895
63,UChicago_PME,Argonne_3,595692385000019.0,606692385000019.0,10,0.921613011080481,11520350000000.0,13.545454545454545
64,UChicago_PME,Argonne_3,663891815000020.0,676891815000020.0,11,0.8935966301612074,57199430000000.0,18.23076923076923
65,UChicago_PME,Argonne_1,677991815000021.0,691991815000021.0,15,0.9076601984938848,1100000000000.0,37.357142857142854
66,UChicago_PME,Fermilab_1,711151110000022.0,721151110000022.0,19,0.8921045795399081,19159295000000.0,16.8
67,UChicago_PME,Fermilab_1,768924320000023.0,783924320000023.0,16,0.9130470642778167,47773210000000.0,13.4
68,UChicago_PME,UChicago_HC,785324320000024.0,796324320000024.0,10,0.8045052745644717,1400000000000.0,1153.181818181818
69,UChicago_PME,NU,804633755000025.0,818633755000025.0,13,0.864051042380779,8309435000000.0,80.71428571428572
70,UChicago_PME,Argonne_2,843582595000026.0,861582595000026.0,10,0.9161579232989105,24948840000000.0,16.38888888888889
71,UChicago_PME,Argonne_2,864482595000027.0,882482595000027.0,11,0.9450510110917897,2900000000000.0,17.27777777777778
72,UChicago_PME,Argonne_2,898039575000028.0,909039575000028.0,13,0.8778320856809636,15556980000000.0,19.636363636363637
73,UChicago_PME,Fermilab_1,910939575000029.0,923939575000029.0,11,0.9549752868062324,1900000000000.0,10.0
74,UChicago_PME,Argonne_1,929255855000030.0,939255855000030.0,10,0.9890661952259194,5316280000000.0,23.200000000000003
75,UChicago_HC,Fermilab_1,40615615000000.0,57615615000000.0,13,0.9206296300103124,40615615000000.0,10.23529411764706
76,UChicago_HC,Fermilab_2,77330905000001.0,95330905000001.0,14,0.9271766258976738,19715290000000.0,8.166666666666666
77,UChicago_HC,UChicago_PME,97230905000002.0,114230905000002.0,10,0.8997615209928045,1900000000000.0,1412.235294117647
78,UChicago_HC,Argonne_2,141104455000003.0,152104455000003.0,17,0.9677376570018223,26873550000000.0,8.636363636363637
79,UChicago_HC,Argonne_1,207188435000004.0,221188435000004.0,12,0.912706151119166,55083980000000.0,19.07142857142857
80,UChicago_HC,Argonne_2,273534285000005.0,292534285000005.0,10,0.8263067766180365,52345850000000.0,9.894736842105264
81,UChicago_HC,Argonne_1,366490635000006.0,377490635000006.0,24,0.9045508757837893,73956350000000.0,35.18181818181818
82,UChicago_HC,Argonne_3,408317345000007.0,420317345000007.0,11,0.9438444241640906,30826710000000.0,11.75
83,UChicago_HC,Fermilab_1,433951650000008.0,445951650000008.0,12,0.8298552701582157,13634305000000.0,8.833333333333334
84,UChicago_HC,Argonne_3,477291070000009.0,496291070000009.0,10,0.8580321218893561,31339420000000.0,10.947368421052632
85,UChicago_HC,StarLight,498791570000010.0,513791570000010.0,10,0.9376877462784798,2500500000000.0,64.0
86,UChicago_HC,Fermilab_1,518493070000011.0,533493070000011.0,10,0.9438822390209218,4701500000000.0,8.266666666666666
87,UChicago_HC,StarLight,535996715000012.0,553996715000012.0,13,0.9531328622609029,2503645000000.0,79.0
88,UChicago_HC,UChicago_PME,555796715000013.0,566796715000013.0,19,0.9452748475856626,1800000000000.0,2660.181818181818
89,UChicago_HC,Argonne_2,732871755000014.0,751871755000014.0,12,0.9892609207920626,166075040000000.0,0.0
90,UChicago_HC,NU,797334640000015.0,814334640000015.0,10,0.8984437052970504,45462885000000.0,37.705882352941174
91,UChicago_HC,Argonne_3,817235140000016.0,830235140000016.0,11,0.8720788533652261,2900500000000.0,10.846153846153845
92,UChicago_HC,NU,832435640000017.0,850435640000017.0,12,0.8628767906949396,2200500000000.0,47.5
93,UChicago_HC,Fermilab_1,924237685000018.0,941237685000018.0,13,0.9895561255572649,73802045000000.0,0.0
94,UChicago_HC,Fermilab_2,966984280000019.0,980984280000019.0,15,0.8522640961501823,25746595000000.0,7.357142857142858
95,UChicago_HC,UChicago_PME,982484280000020.0,994484280000020.0,14,0.9543526012162833,1500000000000.0,1977.3333333333335
96,Fermilab_1,Argonne_2,1900000000000.0,13900000000000.0,13,0.9656889770549062,1900000000000.0,18.666666666666668
97,Fermilab_1,Fermilab_2,16300000000001.0,32300000000001.0,16,0.8271839208041014,2400000000000.0,2241.3125
98,Fermilab_1,Argonne_2,51700000000002.0,62700000000002.0,13,0.9650665812769597,19400000000000.0,20.0
99,Fermilab_1,StarLight,63700000000003.0,76700000000003.0,20,0.9675127520122123,1000000000000.0,33.0
100,Fermilab_1,Argonne_1,91500000000004.0,109500000000004.0,11,0.8297137476544648,14800000000000.0,28.61111111111111
101,Fermilab_1,StarLight,111700000000005.0,129700000000005.0,12,0.8847032785630516,2200000000000.0,20.11111111111111
102,Fermilab_1,UChicago_PME,132200000000006.0,145200000000006.0,14,0.8385754365262138,2500000000000.0,14.538461538461538
103,Fermilab_1,Argonne_1,148705270000007.0,160705270000007.0,16,0.9349691243359227,3505270000000.0,35.666666666666664
104,Fermilab_1,NU,169524065000008.0,186524065000008.0,11,0.8345201409191001,8818795000000.0,10.529411764705882
105,Fermilab_1,Argonne_2,191029335000009.0,205029335000009.0,10,0.8499724596558057,4505270000000.0,21.0
106,Fermilab_1,Argonne_1,208429335000010.0,222429335000010.0,12,0.9790604057087445,3400000000000.0,28.642857142857142
107,Fermilab_1,StarLight,226232020000011.0,244232020000011.0,16,0.8713851145875183,3802685000000.0,24.666666666666664
