,Node,Start_time,End_time,Memory_size
0,NU,2800795000000.0,21800795000000.0,13
1,NU,27616555000001.0,40616555000001.0,16
2,NU,91864460000002.0,110864460000002.0,15
3,NU,112440600000002.0,128440600000002.0,13
4,NU,126964460000004.0,139964460000004.0,21
5,NU,149229860000002.0,159229860000002.0,10
6,NU,160192375000005.0,171192375000005.0,17
7,NU,181997995000008.0,200997995000008.0,13
8,NU,183748145000003.0,200748145000003.0,11
9,NU,201289485000004.0,214289485000004.0,14
10,NU,262244175000004.0,281244175000004.0,13
11,NU,279371860000009.0,290371860000009.0,14
12,NU,292151330000005.0,303151330000005.0,10
13,NU,303671860000011.0,317671860000011.0,12
14,NU,304451330000006.0,318451330000006.0,10
15,NU,319451330000007.0,332451330000007.0,11
16,NU,333651330000008.0,351651330000008.0,18
17,NU,369137270000012.0,380137270000012.0,10
18,NU,381674385000009.0,397674385000009.0,17
19,NU,424494260000010.0,440494260000010.0,10
20,NU,455307280000011.0,470307280000011.0,21
21,NU,478939905000017.0,490939905000017.0,13
22,NU,490941180000012.0,503941180000012.0,22
23,NU,531574205000013.0,544574205000013.0,18
24,NU,544833255000017.0,562833255000017.0,16
25,NU,614018355000016.0,631018355000016.0,10
26,NU,632265210000014.0,644265210000014.0,22
27,NU,662388855000017.0,674388855000017.0,20
28,NU,734587205000014.0,749587205000014.0,10
29,NU,752088000000015.0,767088000000015.0,14
30,NU,768188000000016.0,787188000000016.0,10
31,NU,808707430000017.0,818707430000017.0,10
32,NU,819807430000018.0,834807430000018.0,12
33,NU,822988110000025.0,840988110000025.0,23
34,NU,841988110000026.0,855988110000026.0,10
35,NU,856282045000031.0,873282045000031.0,13
36,NU,873439990000019.0,891439990000019.0,13
37,NU,892486190000014.0,906486190000014.0,12
38,NU,923968165000020.0,940968165000020.0,10
39,NU,946898690000016.0,963898690000016.0,12
40,NU,969717200000034.0,986717200000034.0,10
41,NU,973736600000033.0,989736600000033.0,10
42,NU,990509855000021.0,1003509855000021.0,13
43,NU,1000655395000034.0,1011655395000034.0,12
44,StarLight,2800795000000.0,21800795000000.0,26
45,StarLight,27616555000001.0,40616555000001.0,32
46,StarLight,43460790000001.0,54460790000001.0,38
47,StarLight,48861775000000.0,65861775000000.0,10
48,StarLight,55872260000000.0,67872260000000.0,20
49,StarLight,68364460000001.0,83364460000001.0,13
50,StarLight,73469790000002.0,90469790000002.0,26
51,StarLight,83952700000004.0,101952700000004.0,22
52,StarLight,91864460000002.0,110864460000002.0,15
53,StarLight,112440600000002.0,128440600000002.0,26
54,StarLight,112064460000003.0,125064460000003.0,13
55,StarLight,126964460000004.0,139964460000004.0,21
56,StarLight,135356325000003.0,148356325000003.0,28
57,StarLight,141071195000006.0,155071195000006.0,18
58,StarLight,148664460000005.0,164664460000005.0,10
59,StarLight,149229860000002.0,159229860000002.0,20
60,StarLight,160192375000005.0,171192375000005.0,34
61,StarLight,165268905000005.0,177268905000005.0,15
62,StarLight,171564460000006.0,181564460000006.0,11
63,StarLight,172214880000003.0,183214880000003.0,22
64,StarLight,181997995000008.0,200997995000008.0,26
65,StarLight,183748145000003.0,200748145000003.0,22
66,StarLight,201289485000004.0,214289485000004.0,28
67,StarLight,201764460000007.0,215764460000007.0,19
68,StarLight,216074590000003.0,228074590000003.0,26
69,StarLight,216743835000001.0,227743835000001.0,10
70,StarLight,245079045000004.0,262079045000004.0,22
71,StarLight,262244175000004.0,281244175000004.0,26
72,StarLight,266271860000008.0,278271860000008.0,11
73,StarLight,279371860000009.0,290371860000009.0,14
74,StarLight,281300590000004.0,291300590000004.0,13
75,StarLight,292151330000005.0,303151330000005.0,20
76,StarLight,291471860000010.0,302471860000010.0,17
77,StarLight,295770100000003.0,308770100000003.0,11
78,StarLight,303671860000011.0,317671860000011.0,12
79,StarLight,304451330000006.0,318451330000006.0,20
80,StarLight,319571860000012.0,333571860000012.0,22
81,StarLight,319451330000007.0,332451330000007.0,11
82,StarLight,333651330000008.0,351651330000008.0,36
83,StarLight,337671860000013.0,356671860000013.0,13
84,StarLight,351737490000007.0,368737490000007.0,34
85,StarLight,357286365000005.0,372286365000005.0,13
86,StarLight,369137270000012.0,380137270000012.0,20
87,StarLight,369737490000008.0,383737490000008.0,11
88,StarLight,381674385000009.0,397674385000009.0,34
89,StarLight,398895085000013.0,412895085000013.0,44
90,StarLight,413127770000006.0,424127770000006.0,28
91,StarLight,413672890000008.0,428672890000008.0,14
92,StarLight,424494260000010.0,440494260000010.0,20
93,StarLight,424552845000011.0,436552845000011.0,12
94,StarLight,438924620000014.0,453924620000014.0,30
95,StarLight,455307280000011.0,470307280000011.0,42
96,StarLight,470935455000009.0,488935455000009.0,12
97,StarLight,478939905000017.0,490939905000017.0,26
98,StarLight,490941180000012.0,503941180000012.0,44
99,StarLight,504710535000010.0,515710535000010.0,34
100,StarLight,516910535000011.0,529910535000011.0,13
101,StarLight,531574205000013.0,544574205000013.0,36
102,StarLight,544833255000017.0,562833255000017.0,32
103,StarLight,562868855000013.0,581868855000013.0,38
104,StarLight,574818355000014.0,592818355000014.0,10
105,StarLight,582968855000014.0,593968855000014.0,28
106,StarLight,591030420000012.0,606030420000012.0,12
107,StarLight,594118355000015.0,612118355000015.0,11
108,StarLight,595868855000015.0,608868855000015.0,10
109,StarLight,606960370000011.0,619960370000011.0,28
110,StarLight,614018355000016.0,631018355000016.0,10
111,StarLight,620203065000018.0,632203065000018.0,22
112,StarLight,632265210000014.0,644265210000014.0,44
113,StarLight,644657505000024.0,659657505000024.0,10
114,StarLight,644618355000017.0,660618355000017.0,22
115,StarLight,662218355000018.0,673218355000018.0,10
