,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Fermilab_1,2800795000000.0,21800795000000.0,13,0.8288319225439268,2800795000000.0,10.473684210526315
1,NU,UChicago_HC,27616555000001.0,40616555000001.0,16,0.8818398272738323,5815760000000.0,74.69230769230768
2,NU,Argonne_2,149229860000002.0,159229860000002.0,10,0.826808339449433,108613305000000.0,12.8
3,NU,UChicago_PME,183748145000003.0,200748145000003.0,11,0.8570930457571158,24518285000000.0,85.17647058823529
4,NU,Fermilab_2,262244175000004.0,281244175000004.0,13,0.8373587358707617,61496030000000.0,6.947368421052632
5,NU,Fermilab_1,292151330000005.0,303151330000005.0,10,0.8771174514460116,10907155000000.0,9.363636363636363
6,NU,UChicago_HC,304451330000006.0,318451330000006.0,10,0.9280021116635353,1300000000000.0,48.57142857142857
7,NU,StarLight,319451330000007.0,332451330000007.0,11,0.8159885011216238,1000000000000.0,440.53846153846155
8,NU,Fermilab_1,333651330000008.0,351651330000008.0,18,0.9610897235261707,1200000000000.0,13.888888888888888
9,NU,UChicago_PME,381674385000009.0,397674385000009.0,17,0.9648964287903874,30023055000000.0,124.75000000000001
10,NU,Argonne_2,424494260000010.0,440494260000010.0,10,0.9624894201105685,26819875000000.0,5.1875
11,NU,Fermilab_1,455307280000011.0,470307280000011.0,21,0.8832839897110699,14813020000000.0,17.066666666666666
12,NU,Fermilab_2,490941180000012.0,503941180000012.0,22,0.9113078966851222,20633900000000.0,10.923076923076922
13,NU,Argonne_1,531574205000013.0,544574205000013.0,18,0.9807792787174991,27633025000000.0,17.153846153846153
14,NU,Argonne_3,734587205000014.0,749587205000014.0,10,0.8815837485072773,190013000000000.0,14.466666666666667
15,NU,Argonne_1,752088000000015.0,767088000000015.0,14,0.9775997387405256,2500795000000.0,13.933333333333334
16,NU,StarLight,768188000000016.0,787188000000016.0,10,0.8972324430027953,1100000000000.0,399.63157894736844
17,NU,Argonne_3,808707430000017.0,818707430000017.0,10,0.9483345352882041,21519430000000.0,14.0
18,NU,StarLight,819807430000018.0,834807430000018.0,12,0.8571070269791603,1100000000000.0,483.53333333333336
19,NU,UChicago_HC,873439990000019.0,891439990000019.0,13,0.9724079616468064,38632560000000.0,13.833333333333334
20,NU,Argonne_1,923968165000020.0,940968165000020.0,10,0.863235881610332,32528175000000.0,20.352941176470587
21,StarLight,Argonne_2,48861775000000.0,65861775000000.0,10,0.962845148118856,48861775000000.0,21.0
22,StarLight,Fermilab_2,68364460000001.0,83364460000001.0,13,0.992952361775071,2502685000000.0,0.0
23,StarLight,NU,91864460000002.0,110864460000002.0,15,0.8084023578137373,8500000000000.0,497.00000000000006
24,StarLight,Fermilab_1,112064460000003.0,125064460000003.0,13,0.8779190568597645,1200000000000.0,16.923076923076923
25,StarLight,NU,126964460000004.0,139964460000004.0,21,0.8013570932962967,1900000000000.0,679.3846153846154
26,StarLight,Fermilab_2,148664460000005.0,164664460000005.0,10,0.8881009037497395,8700000000000.0,8.9375
27,StarLight,Argonne_2,171564460000006.0,181564460000006.0,11,0.9337381517100347,6900000000000.0,24.7
28,StarLight,UChicago_HC,201764460000007.0,215764460000007.0,19,0.8893206950981084,20200000000000.0,142.07142857142858
29,StarLight,Fermilab_2,266271860000008.0,278271860000008.0,11,0.8173832200295508,50507400000000.0,9.083333333333332
30,StarLight,NU,279371860000009.0,290371860000009.0,14,0.8176043460950314,1100000000000.0,464.0
31,StarLight,UChicago_HC,291471860000010.0,302471860000010.0,17,0.9245812547384347,1100000000000.0,127.72727272727273
32,StarLight,NU,303671860000011.0,317671860000011.0,12,0.9052697479044596,1200000000000.0,394.4285714285714
33,StarLight,UChicago_PME,319571860000012.0,333571860000012.0,22,0.9865334439495917,1900000000000.0,270.2142857142857
34,StarLight,Argonne_1,337671860000013.0,356671860000013.0,13,0.8437833476420631,4100000000000.0,42.631578947368425
35,StarLight,Argonne_3,574818355000014.0,592818355000014.0,10,0.861359771333684,218146495000000.0,19.22222222222222
36,StarLight,Fermilab_1,594118355000015.0,612118355000015.0,11,0.9400732436411263,1300000000000.0,15.0
37,StarLight,NU,614018355000016.0,631018355000016.0,10,0.8222675975216035,1900000000000.0,327.05882352941177
38,StarLight,UChicago_PME,644618355000017.0,660618355000017.0,22,0.8219845093173923,13600000000000.0,269.1875
39,StarLight,Fermilab_2,662218355000018.0,673218355000018.0,10,0.9239071620611692,1600000000000.0,8.09090909090909
40,StarLight,Argonne_2,715485425000019.0,734485425000019.0,10,0.9863597892466258,42267070000000.0,4.421052631578948
41,StarLight,Fermilab_1,740285425000020.0,756285425000020.0,11,0.8483870911812718,5800000000000.0,15.75
42,StarLight,Argonne_1,759185425000021.0,770185425000021.0,11,0.9658464111302242,2900000000000.0,35.090909090909086
43,StarLight,Fermilab_1,773685425000022.0,792685425000022.0,16,0.9071082827000215,3500000000000.0,21.05263157894737
44,StarLight,UChicago_PME,794285425000023.0,806285425000023.0,10,0.8201936873439695,1600000000000.0,123.66666666666669
45,StarLight,Fermilab_1,811388110000024.0,821388110000024.0,10,0.9973888402862432,5102685000000.0,0.6
46,StarLight,NU,822988110000025.0,840988110000025.0,23,0.9282828264732017,1600000000000.0,755.1111111111112
47,StarLight,NU,841988110000026.0,855988110000026.0,10,0.9018272079350207,1000000000000.0,329.2857142857143
48,StarLight,Argonne_2,881295170000027.0,892295170000027.0,18,0.8470482157663022,25307060000000.0,37.72727272727273
49,StarLight,UChicago_HC,908701460000028.0,925701460000028.0,16,0.8181990975930693,16406290000000.0,126.05882352941177
