,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,1200000000000.0,12200000000000.0,10,0.962845148118856,1200000000000.0,5.818181818181818
1,NU,Fermilab_1,13200000000001.0,26200000000001.0,11,0.945712105362359,1000000000000.0,8.846153846153847
2,NU,Argonne_3,27300000000002.0,45300000000002.0,10,0.8549938735812077,1100000000000.0,14.388888888888888
3,NU,UChicago_PME,62900000000003.0,76900000000003.0,10,0.8300124526610673,17600000000000.0,74.42857142857143
4,NU,Fermilab_2,78400000000004.0,95400000000004.0,11,0.9724235969815256,1500000000000.0,1.2941176470588236
5,NU,UChicago_PME,107300000000005.0,124300000000005.0,11,0.9227433876805174,11900000000000.0,82.05882352941175
6,NU,StarLight,126000000000006.0,143000000000006.0,10,0.8392339823936544,1700000000000.0,404.4117647058823
7,NU,Argonne_3,152523480000007.0,170523480000007.0,11,0.9207611034524877,9523480000000.0,13.055555555555557
8,NU,UChicago_PME,175235300000008.0,187235300000008.0,10,0.8453252126718274,4711820000000.0,73.08333333333334
9,NU,Argonne_3,205135300000009.0,220135300000009.0,11,0.859325265932549,17900000000000.0,13.533333333333333
10,NU,Argonne_2,221735300000010.0,231735300000010.0,11,0.8913440243381379,1600000000000.0,15.2
11,NU,UChicago_PME,232835300000011.0,248835300000011.0,11,0.9733945927083101,1100000000000.0,38.5625
12,NU,Argonne_3,250836095000012.0,268836095000012.0,11,0.9953272986584375,2000795000000.0,0.0
13,NU,Argonne_3,269836095000013.0,280836095000013.0,10,0.9241508169132582,1000000000000.0,13.545454545454545
14,NU,StarLight,282136095000014.0,297136095000014.0,10,0.96091701311975,1300000000000.0,398.93333333333334
15,NU,Argonne_3,304852190000015.0,320852190000015.0,10,0.958490220810889,7716095000000.0,5.875
16,NU,Fermilab_1,322352190000016.0,337352190000016.0,10,0.8210960953733414,1500000000000.0,7.733333333333333
17,NU,Fermilab_2,338352190000017.0,348352190000017.0,11,0.9341808630071655,1000000000000.0,5.3
18,NU,Fermilab_1,364701705000018.0,383701705000018.0,11,0.8931188623043497,16349515000000.0,9.26315789473684
19,NU,UChicago_HC,386710085000019.0,405710085000019.0,10,0.8590840014839467,3008380000000.0,46.36842105263158
20,NU,UChicago_PME,406810085000020.0,421810085000020.0,11,0.8986355333162265,1100000000000.0,83.93333333333334
21,NU,Argonne_1,425817765000021.0,443817765000021.0,11,0.9764353591221138,4007680000000.0,10.166666666666668
22,NU,Fermilab_1,446421245000022.0,463421245000022.0,11,0.9578507287743152,2603480000000.0,8.23529411764706
23,NU,Argonne_3,471842665000023.0,486842665000023.0,10,0.847484576293844,8421420000000.0,12.8
24,NU,Argonne_3,499642665000024.0,518642665000024.0,11,0.836326065402285,12800000000000.0,14.473684210526317
25,NU,Argonne_3,538251845000025.0,556251845000025.0,10,0.9197766403583578,19609180000000.0,13.888888888888888
