,Node,Start_time,End_time,Memory_size
0,NU,1200000000000.0,12200000000000.0,10
1,NU,13200000000001.0,26200000000001.0,11
2,NU,15804570000001.0,28804570000001.0,11
3,NU,27300000000002.0,45300000000002.0,10
4,NU,46229130000001.0,62229130000001.0,17
5,NU,62900000000003.0,76900000000003.0,10
6,NU,63324850000004.0,78324850000004.0,11
7,NU,78400000000004.0,95400000000004.0,11
8,NU,78591010000003.0,90591010000003.0,11
9,NU,91336170000003.0,106336170000003.0,11
10,NU,95413040000004.0,113413040000004.0,10
11,NU,107300000000005.0,124300000000005.0,11
12,NU,113910630000005.0,129910630000005.0,10
13,NU,126000000000006.0,143000000000006.0,10
14,NU,143665255000008.0,158665255000008.0,13
15,NU,152523480000007.0,170523480000007.0,11
16,NU,161169195000009.0,176169195000009.0,12
17,NU,175235300000008.0,187235300000008.0,10
18,NU,176716675000008.0,186716675000008.0,11
19,NU,187588445000008.0,203588445000008.0,10
20,NU,187816675000009.0,203816675000009.0,11
21,NU,205135300000009.0,220135300000009.0,11
22,NU,204262165000010.0,217262165000010.0,13
23,NU,218115955000010.0,235115955000010.0,11
24,NU,221735300000010.0,231735300000010.0,11
25,NU,232835300000011.0,248835300000011.0,11
26,NU,238044785000006.0,250044785000006.0,13
27,NU,250381385000014.0,262381385000014.0,10
28,NU,250836095000012.0,268836095000012.0,11
29,NU,263457960000007.0,273457960000007.0,10
30,NU,269836095000013.0,280836095000013.0,10
31,NU,282136095000014.0,297136095000014.0,10
32,NU,288315285000013.0,301315285000013.0,10
33,NU,304852190000015.0,320852190000015.0,10
34,NU,307284385000017.0,323284385000017.0,11
35,NU,322352190000016.0,337352190000016.0,10
36,NU,326931535000010.0,343931535000010.0,14
37,NU,338352190000017.0,348352190000017.0,11
38,NU,349038485000017.0,366038485000017.0,11
39,NU,364701705000018.0,383701705000018.0,11
40,NU,366166860000013.0,376166860000013.0,11
41,NU,386710085000019.0,405710085000019.0,10
42,NU,406810085000020.0,421810085000020.0,11
43,NU,425817765000021.0,443817765000021.0,11
