,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,255910064000000.0,266910064000000.0,12,0.808194704787239,255910064000000.0,250.63636363636363
1,NU,Fermilab_1,270710132000001.0,281710132000001.0,20,0.8782587514156216,3800068000000.0,804.4545454545455
2,NU,Fermilab_2,355512546000002.0,370512546000002.0,11,0.9382542958881209,73802414000000.0,114.93333333333332
3,NU,UChicago_PME,389913158000003.0,401913158000003.0,24,0.8523728031707875,19400612000000.0,6860.333333333333
4,NU,Argonne_3,456815028000004.0,467815028000004.0,11,0.8519097812277556,54901870000000.0,240.0
5,NU,Fermilab_1,489615708000005.0,505615708000005.0,16,0.9416998966573418,21800680000000.0,602.9375
6,NU,Argonne_2,656321284000006.0,673321284000006.0,13,0.8753412103601366,150705576000000.0,252.88235294117646
7,NU,Argonne_1,688121726000007.0,703121726000007.0,10,0.8822515388966856,14800442000000.0,586.4666666666667
8,NU,Argonne_2,751023562000008.0,762023562000008.0,11,0.9165004503470382,47901836000000.0,251.81818181818184
9,NU,Argonne_2,876827472000009.0,889827472000009.0,24,0.9258161579083021,114803910000000.0,555.2307692307693
10,NU,Fermilab_2,890827472000010.0,906827472000010.0,11,0.9665522070298791,1000000000000.0,54.75
11,StarLight,Fermilab_1,1500000000000.0,18500000000000.0,24,0.8288319225439268,1500000000000.0,1559.5882352941176
12,StarLight,Argonne_2,109401394000001.0,125401394000001.0,15,0.8846652897945152,90901394000000.0,458.6875
13,StarLight,Fermilab_2,142901496000002.0,155901496000002.0,12,0.8425661990680668,17500102000000.0,484.4615384615385
14,StarLight,Fermilab_1,166301496000003.0,183301496000003.0,13,0.9976437802440424,10400000000000.0,30.35294117647059
15,StarLight,Fermilab_1,185201496000004.0,198201496000004.0,10,0.8607017853199022,1900000000000.0,630.0769230769231
16,StarLight,Fermilab_1,200101496000005.0,213101496000005.0,13,0.9698089043718544,1900000000000.0,859.7692307692307
17,StarLight,UChicago_PME,216801496000006.0,229801496000006.0,10,0.9260635510886956,3700000000000.0,10297.384615384615
18,StarLight,UChicago_PME,231201496000007.0,245201496000007.0,15,0.89541480112747,1400000000000.0,14395.07142857143
19,StarLight,Argonne_2,280801904000008.0,294801904000008.0,10,0.9124103180199419,35600408000000.0,248.07142857142858
20,StarLight,NU,296201904000009.0,313201904000009.0,20,0.8312693299807173,1400000000000.0,13536.529411764706
21,StarLight,UChicago_HC,314501904000010.0,325501904000010.0,10,0.8163715994154485,1300000000000.0,3309.7272727272725
22,StarLight,UChicago_PME,326701904000011.0,339701904000011.0,16,0.892648007257476,1200000000000.0,15200.230769230768
23,StarLight,Argonne_3,350502006000012.0,369502006000012.0,10,0.8042927752554383,10800102000000.0,826.4736842105264
24,StarLight,Fermilab_2,403502074000013.0,414502074000013.0,11,0.8931866482328529,34000068000000.0,471.81818181818187
25,StarLight,Fermilab_1,415702074000014.0,433702074000014.0,18,0.9610897235261707,1200000000000.0,1085.1666666666665
26,StarLight,UChicago_PME,440902074000015.0,451902074000015.0,17,0.9648964287903874,7200000000000.0,16146.545454545454
27,StarLight,UChicago_HC,453402074000016.0,466402074000016.0,17,0.9082282106608418,1500000000000.0,6083.615384615385
28,StarLight,Argonne_3,501102448000017.0,513102448000017.0,10,0.8555696824057217,34700374000000.0,832.9166666666666
29,StarLight,Argonne_3,548003162000018.0,562003162000018.0,12,0.8557535953349528,34900714000000.0,857.1428571428572
30,StarLight,UChicago_HC,563703162000019.0,576703162000019.0,14,0.8722370693265028,1700000000000.0,4696.307692307692
31,StarLight,Fermilab_1,579503162000020.0,590503162000020.0,18,0.8004113686129241,2800000000000.0,1205.6363636363637
32,StarLight,Argonne_1,625903264000021.0,638903264000021.0,22,0.9925791316255083,35400102000000.0,1621.1538461538462
33,StarLight,Argonne_1,662503502000022.0,672503502000022.0,24,0.9466730345887175,23600238000000.0,2637.7000000000003
34,StarLight,Argonne_3,689403570000023.0,705403570000023.0,13,0.9644916554646845,16900068000000.0,1026.3125
35,StarLight,Argonne_2,720203774000024.0,732203774000024.0,11,0.9574735826599283,14800204000000.0,300.4166666666667
36,StarLight,UChicago_HC,743303944000025.0,758303944000025.0,18,0.8070126884138378,11100170000000.0,6869.933333333333
37,StarLight,Fermilab_2,759503944000026.0,769503944000026.0,12,0.9047846789749193,1200000000000.0,556.6
38,StarLight,NU,770903944000027.0,788903944000027.0,15,0.8007458724572776,1400000000000.0,10159.944444444443
39,StarLight,Fermilab_1,790803944000028.0,802803944000028.0,12,0.8316835977059557,1900000000000.0,842.4166666666666
40,StarLight,Argonne_2,818704012000029.0,835704012000029.0,22,0.9218566753122936,15900068000000.0,1046.8235294117646
41,StarLight,Argonne_3,904504318000030.0,916504318000030.0,14,0.8503330355163049,68800306000000.0,1020.4999999999999
42,StarLight,UChicago_PME,918104318000031.0,930104318000031.0,23,0.8089458041491713,1600000000000.0,19093.416666666664
43,StarLight,UChicago_HC,943404386000032.0,962404386000032.0,23,0.9602226223859368,13300068000000.0,9443.421052631578
44,UChicago_PME,Argonne_2,1200000000000.0,12200000000000.0,14,0.962845148118856,1200000000000.0,732.8181818181818
45,UChicago_PME,Fermilab_1,17700068000001.0,29700068000001.0,12,0.945712105362359,5500068000000.0,521.6666666666666
46,UChicago_PME,Argonne_1,31100068000002.0,47100068000002.0,20,0.8845569346540256,1400000000000.0,3814.9374999999995
47,UChicago_PME,StarLight,49400102000003.0,62400102000003.0,10,0.9366129644619251,2300034000000.0,8497.0
48,UChicago_PME,StarLight,73000136000004.0,87000136000004.0,16,0.9782418819001159,10600034000000.0,13164.642857142857
49,UChicago_PME,Fermilab_2,94500340000005.0,104500340000005.0,13,0.9724235969815256,7500204000000.0,94.7
50,UChicago_PME,UChicago_HC,105600340000006.0,120600340000006.0,10,0.9403898952771979,1100000000000.0,22438.466666666667
51,UChicago_PME,Fermilab_2,126000476000007.0,139000476000007.0,12,0.967036640938456,5400136000000.0,66.15384615384616
52,UChicago_PME,Argonne_3,205302074000008.0,221302074000008.0,14,0.9207611034524877,66301598000000.0,1910.1875
53,UChicago_PME,Argonne_3,287503876000009.0,299503876000009.0,14,0.8781213874425952,66201802000000.0,1661.25
54,UChicago_PME,UChicago_HC,300603876000010.0,319603876000010.0,21,0.8360494725217422,1100000000000.0,45733.78947368421
55,UChicago_PME,Argonne_1,333704250000011.0,347704250000011.0,10,0.9511171274335775,14100374000000.0,2330.9285714285716
56,UChicago_PME,Fermilab_1,370604930000012.0,389604930000012.0,22,0.8984989927215719,22900680000000.0,832.6315789473683
57,UChicago_PME,StarLight,403004964000013.0,421004964000013.0,21,0.8486428740632072,13400034000000.0,16573.5
58,UChicago_PME,StarLight,422004964000014.0,440004964000014.0,18,0.935378808947365,1000000000000.0,16041.888888888889
59,UChicago_PME,Argonne_1,462605372000015.0,475605372000015.0,13,0.828604523068305,22600408000000.0,2789.0
60,UChicago_PME,Argonne_3,534306664000016.0,544306664000016.0,10,0.8022257537190726,58701292000000.0,1250.5
61,UChicago_PME,NU,590907718000017.0,607907718000017.0,12,0.80803133996658,46601054000000.0,2622.470588235294
62,UChicago_PME,Argonne_2,618808024000018.0,629808024000018.0,12,0.8971951209604834,10900306000000.0,601.3636363636364
63,UChicago_PME,Argonne_3,741710574000019.0,751710574000019.0,14,0.8114232307226349,111902550000000.0,1965.2000000000003
64,UChicago_PME,Argonne_2,778310812000020.0,793310812000020.0,14,0.8265356625003347,26600238000000.0,752.1333333333333
65,UChicago_PME,Argonne_3,849012274000021.0,863012274000021.0,16,0.873971128479879,55701462000000.0,2285.785714285714
66,UChicago_PME,Argonne_2,864812274000022.0,876812274000022.0,10,0.8866278051589719,1800000000000.0,470.9166666666667
67,UChicago_PME,Fermilab_1,916113192000023.0,927113192000023.0,10,0.8094814734417565,39300918000000.0,460.72727272727275
68,UChicago_HC,Argonne_2,154107174000000.0,172107174000000.0,16,0.9602548930412794,154107174000000.0,314.05555555555554
69,UChicago_HC,StarLight,174007174000001.0,189007174000001.0,14,0.9232232654006991,1900000000000.0,4688.133333333334
70,UChicago_HC,StarLight,193207276000002.0,209207276000002.0,16,0.8269360335571817,4200102000000.0,5467.6875
71,UChicago_HC,Fermilab_2,252409010000003.0,269409010000003.0,10,0.8902355653358632,43201734000000.0,96.64705882352942
72,UChicago_HC,Argonne_1,277109384000004.0,287109384000004.0,10,0.8923178662011209,7700374000000.0,1472.2
73,UChicago_HC,Argonne_3,302410166000005.0,314410166000005.0,11,0.92566499747501,15300782000000.0,429.33333333333337
