,Node,Start_time,End_time,Memory_size
0,NU,15948720000000.0,27948720000000.0,11
1,NU,29748720000001.0,47748720000001.0,11
2,NU,31806115000001.0,43806115000001.0,12
3,NU,56467025000002.0,68467025000002.0,10
4,NU,64331350000002.0,76331350000002.0,11
5,NU,69567025000003.0,85567025000003.0,11
6,NU,78131350000003.0,91131350000003.0,10
7,NU,86567025000004.0,105567025000004.0,11
8,NU,111782325000005.0,126782325000005.0,11
9,NU,121268970000005.0,133268970000005.0,10
10,NU,127782325000006.0,139782325000006.0,10
11,NU,134101225000005.0,149101225000005.0,11
12,NU,143389285000007.0,155389285000007.0,10
13,NU,153894905000006.0,167894905000006.0,10
14,NU,156801000000007.0,175801000000007.0,10
15,NU,168789285000008.0,184789285000008.0,11
16,NU,178345700000010.0,195345700000010.0,10
17,NU,186389285000009.0,202389285000009.0,10
18,NU,204189285000010.0,216189285000010.0,10
19,NU,217989285000011.0,230989285000011.0,10
20,NU,233091845000012.0,245091845000012.0,10
21,NU,250103085000013.0,263103085000013.0,11
22,NU,251548465000014.0,263548465000014.0,10
23,NU,264203085000014.0,279203085000014.0,10
24,NU,265148465000015.0,283148465000015.0,10
25,NU,282103880000015.0,297103880000015.0,10
26,NU,283210665000014.0,294210665000014.0,11
27,NU,299003880000016.0,315003880000016.0,10
28,NU,342813320000017.0,353813320000017.0,11
29,NU,355713320000018.0,368713320000018.0,11
30,NU,361467785000013.0,379467785000013.0,12
31,NU,369335965000018.0,384335965000018.0,11
32,NU,379553465000017.0,389553465000017.0,11
33,NU,385313320000019.0,402313320000019.0,10
34,NU,396356655000011.0,413356655000011.0,12
35,NU,403413320000020.0,422413320000020.0,10
36,NU,415356655000012.0,425356655000012.0,10
37,NU,423913320000021.0,437913320000021.0,10
38,NU,439813320000022.0,450813320000022.0,10
39,NU,449826210000016.0,468826210000016.0,12
40,NU,451813320000023.0,470813320000023.0,10
41,NU,469510725000021.0,479510725000021.0,11
42,NU,475726640000024.0,492726640000024.0,11
43,NU,480915955000018.0,491915955000018.0,10
44,NU,494326640000025.0,510326640000025.0,10
45,NU,512126640000026.0,528126640000026.0,10
46,NU,539734590000027.0,552734590000027.0,10
47,NU,546819655000028.0,561819655000028.0,10
48,NU,554534590000028.0,569534590000028.0,11
49,NU,562692910000022.0,572692910000022.0,14
50,NU,570241075000029.0,580241075000029.0,11
51,NU,573534590000029.0,583534590000029.0,10
52,NU,586438180000022.0,604438180000022.0,23
53,NU,605440710000030.0,618440710000030.0,10
54,NU,604828335000024.0,621828335000024.0,10
