,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,38348830000000.0,51348830000000.0,11,0.9602548930412794,38348830000000.0,6.923076923076923
1,NU,Fermilab_2,104113540000001.0,122113540000001.0,11,0.9493720771299676,52764710000000.0,5.777777777777778
2,NU,StarLight,123213540000002.0,136213540000002.0,17,0.8809187457695631,1100000000000.0,675.6923076923076
3,NU,Argonne_3,288758295000003.0,303758295000003.0,12,0.8394437536689993,152544755000000.0,16.0
4,NU,Argonne_2,394548465000004.0,408548465000004.0,11,0.8246383255628755,90790170000000.0,15.500000000000002
5,NU,UChicago_HC,427962775000005.0,443962775000005.0,10,0.8469800509336107,19414310000000.0,47.0
6,NU,UChicago_HC,458073110000006.0,476073110000006.0,13,0.8079088563837507,14110335000000.0,63.888888888888886
7,NU,Fermilab_2,494486625000007.0,505486625000007.0,11,0.9292074111136615,18413515000000.0,4.636363636363637
8,NU,Fermilab_1,506686625000008.0,520686625000008.0,14,0.8330265876028097,1200000000000.0,12.071428571428571
9,NU,Fermilab_1,522086625000009.0,537086625000009.0,10,0.8051561060595749,1400000000000.0,8.733333333333334
10,NU,StarLight,538386625000010.0,555386625000010.0,24,0.9454112383117346,1300000000000.0,959.1176470588234
11,NU,Argonne_2,623339095000011.0,634339095000011.0,11,0.8243098286942181,67952470000000.0,14.0
12,NU,Fermilab_1,652752610000012.0,670752610000012.0,21,0.8991432003057153,18413515000000.0,17.666666666666668
13,NU,UChicago_HC,683461355000013.0,702461355000013.0,15,0.9883702032909768,12708745000000.0,0.6842105263157895
14,NU,Fermilab_2,714269305000014.0,726269305000014.0,11,0.8195067439951408,11807950000000.0,5.75
15,NU,Argonne_3,753389975000015.0,772389975000015.0,10,0.8476873280780042,27120670000000.0,13.68421052631579
16,NU,UChicago_HC,824139160000016.0,838139160000016.0,16,0.9503577268545005,51749185000000.0,78.35714285714286
17,NU,Argonne_3,849447110000017.0,866447110000017.0,11,0.8207294928632366,11307950000000.0,14.058823529411764
18,NU,Argonne_1,912782885000018.0,930782885000018.0,10,0.948562385212264,46335775000000.0,21.38888888888889
19,NU,Argonne_1,966013445000019.0,979013445000019.0,11,0.9173972731537618,35230560000000.0,21.846153846153843
20,NU,Argonne_1,980413445000020.0,998413445000020.0,12,0.8389416571717427,1400000000000.0,24.055555555555557
21,StarLight,Argonne_1,1900000000000.0,19900000000000.0,17,0.9952487411415408,1900000000000.0,12.555555555555557
22,StarLight,Argonne_3,62654715000001.0,73654715000001.0,12,0.8752973168754545,42754715000000.0,25.363636363636363
