,Node,Start_time,End_time,Memory_size
0,NU,1900000000000.0,19900000000000.0,11
1,NU,20900000000001.0,34900000000001.0,11
2,NU,36700000000002.0,51700000000002.0,10
3,NU,53200000000003.0,66200000000003.0,11
4,NU,72612800000004.0,91612800000004.0,10
5,NU,92612800000005.0,103612800000005.0,11
6,NU,103722995000005.0,114722995000005.0,10
7,NU,105412800000006.0,120412800000006.0,10
8,NU,123917920000007.0,138917920000007.0,10
9,NU,151829810000008.0,164829810000008.0,11
10,NU,166629810000009.0,185629810000009.0,10
11,NU,172020815000009.0,184020815000009.0,10
12,NU,199981030000010.0,214981030000010.0,11
13,NU,201544165000010.0,211544165000010.0,14
14,NU,216481030000011.0,226481030000011.0,10
15,NU,227981030000012.0,241981030000012.0,11
16,NU,235231460000012.0,246231460000012.0,11
17,NU,243681030000013.0,258681030000013.0,11
18,NU,264195450000014.0,279195450000014.0,11
19,NU,275432715000014.0,287432715000014.0,11
20,NU,280195450000015.0,299195450000015.0,11
21,NU,288664815000007.0,307664815000007.0,14
22,NU,300795450000016.0,311795450000016.0,11
23,NU,311596640000010.0,324596640000010.0,10
24,NU,312682305000007.0,329682305000007.0,12
25,NU,325951015000017.0,337951015000017.0,10
26,NU,331400570000017.0,349400570000017.0,11
27,NU,349987600000009.0,364987600000009.0,12
28,NU,350400570000018.0,366400570000018.0,11
29,NU,365085105000010.0,384085105000010.0,11
30,NU,366743205000018.0,383743205000018.0,11
31,NU,384100570000019.0,402100570000019.0,10
32,NU,385785105000011.0,396785105000011.0,13
33,NU,398758680000012.0,416758680000012.0,11
34,NU,413007725000020.0,426007725000020.0,10
35,NU,418258330000021.0,432258330000021.0,10
36,NU,427907725000021.0,441907725000021.0,10
37,NU,433042400000017.0,452042400000017.0,15
38,NU,445007725000022.0,457007725000022.0,10
39,NU,456721410000013.0,471721410000013.0,10
40,NU,458707725000023.0,476707725000023.0,11
41,NU,473829160000015.0,484829160000015.0,14
42,NU,482310905000024.0,495310905000024.0,11
