,Node,Start_time,End_time,Memory_size
0,NU,13918365000000.0,27918365000000.0,10
1,NU,37531520000001.0,55531520000001.0,10
2,NU,61334700000002.0,78334700000002.0,11
3,NU,65902000000003.0,76902000000003.0,11
4,NU,80034700000003.0,94034700000003.0,10
5,NU,96637260000004.0,111637260000004.0,10
6,NU,113237260000005.0,126237260000005.0,11
7,NU,173117060000006.0,185117060000006.0,10
8,NU,193040700000007.0,204040700000007.0,11
9,NU,212753060000008.0,224753060000008.0,11
10,NU,226353060000009.0,242353060000009.0,10
11,NU,230336215000011.0,245336215000011.0,15
12,NU,242382860000011.0,259382860000011.0,10
13,NU,245453060000010.0,255453060000010.0,10
14,NU,256234615000009.0,272234615000009.0,13
15,NU,259926780000012.0,278926780000012.0,10
16,NU,272353060000011.0,284353060000011.0,10
17,NU,279308620000011.0,296308620000011.0,11
18,NU,285647750000014.0,299647750000014.0,13
19,NU,297053060000012.0,312053060000012.0,10
20,NU,307741420000008.0,318741420000008.0,15
21,NU,313253060000013.0,331253060000013.0,10
22,NU,332253060000014.0,342253060000014.0,11
23,NU,343220280000019.0,359220280000019.0,10
24,NU,343353060000015.0,354353060000015.0,10
25,NU,362958625000016.0,372958625000016.0,11
26,NU,366740615000014.0,379740615000014.0,12
27,NU,373857430000015.0,384857430000015.0,11
28,NU,385999495000010.0,397999495000010.0,11
29,NU,389230840000017.0,401230840000017.0,10
30,NU,406945950000018.0,421945950000018.0,11
31,NU,411814090000017.0,422814090000017.0,10
32,NU,423845950000019.0,436845950000019.0,11
33,NU,429725355000018.0,445725355000018.0,11
34,NU,438645950000020.0,451645950000020.0,11
35,NU,453143715000019.0,467143715000019.0,10
36,NU,468943715000020.0,482943715000020.0,11
37,NU,479044565000023.0,497044565000023.0,11
38,NU,483139215000021.0,495139215000021.0,11
39,NU,496076200000023.0,514076200000023.0,11
40,NU,503365135000021.0,520365135000021.0,10
41,NU,514246695000023.0,532246695000023.0,10
42,NU,521288025000023.0,537288025000023.0,11
43,NU,532865135000022.0,549865135000022.0,10
44,NU,544863565000025.0,554863565000025.0,11
45,NU,551365135000023.0,568365135000023.0,11
46,NU,585204240000024.0,602204240000024.0,10
47,NU,608125165000019.0,618125165000019.0,12
48,NU,613330840000025.0,625330840000025.0,11
49,NU,624439930000025.0,638439930000025.0,10
50,NU,626730840000026.0,643730840000026.0,11
51,NU,644930840000027.0,658930840000027.0,10
52,NU,655230585000030.0,674230585000030.0,10
53,NU,659968335000033.0,671968335000033.0,10
54,NU,672530840000028.0,682530840000028.0,11
55,NU,683397545000021.0,697397545000021.0,19
56,NU,698430840000029.0,711430840000029.0,10
57,NU,712430840000030.0,729430840000030.0,11
58,NU,728779660000036.0,739779660000036.0,11
59,NU,745358080000031.0,758358080000031.0,10
60,NU,747629420000034.0,766629420000034.0,10
61,NU,765162055000032.0,777162055000032.0,10
62,NU,767263245000035.0,783263245000035.0,11
63,NU,778562055000033.0,788562055000033.0,10
64,NU,792220390000034.0,809220390000034.0,10
65,NU,793173875000034.0,808173875000034.0,10
66,NU,808382100000037.0,820382100000037.0,11
67,NU,810874670000035.0,825874670000035.0,10
68,NU,827574670000036.0,842574670000036.0,11
69,NU,840830035000036.0,857830035000036.0,13
70,NU,843574670000037.0,854574670000037.0,11
71,NU,855393595000043.0,868393595000043.0,10
72,NU,859378610000038.0,875378610000038.0,10
73,NU,877515220000035.0,896515220000035.0,12
74,NU,877582550000039.0,889582550000039.0,10
75,NU,889640360000025.0,899640360000025.0,12
76,NU,896879955000038.0,913879955000038.0,13
77,NU,899782550000040.0,911782550000040.0,11
78,NU,913886030000041.0,925886030000041.0,11
79,NU,916883645000036.0,930883645000036.0,13
80,NU,926986030000042.0,944986030000042.0,10
81,NU,935440320000043.0,950440320000043.0,10
82,NU,946186030000043.0,964186030000043.0,11
