,Node,Start_time,End_time,Memory_size
0,NU,1300000000000.0,13300000000000.0,11
1,NU,15000000000001.0,31000000000001.0,11
2,NU,32400000000002.0,45400000000002.0,10
3,NU,36301765000002.0,55301765000002.0,12
4,NU,46800000000003.0,65800000000003.0,10
5,NU,66413770000003.0,76413770000003.0,11
6,NU,66900000000004.0,79900000000004.0,10
7,NU,92733660000005.0,105733660000005.0,11
8,NU,106733660000006.0,119733660000006.0,11
9,NU,110905500000005.0,127905500000005.0,10
10,NU,121333660000007.0,139333660000007.0,10
11,NU,140433660000008.0,157433660000008.0,10
12,NU,147168620000008.0,159168620000008.0,11
13,NU,165252020000009.0,177252020000009.0,11
14,NU,178452020000010.0,188452020000010.0,11
15,NU,189752020000011.0,200752020000011.0,10
16,NU,208276660000012.0,223276660000012.0,11
17,NU,225076660000013.0,236076660000013.0,11
18,NU,238480600000014.0,256480600000014.0,11
19,NU,239946760000012.0,258946760000012.0,10
20,NU,266404080000015.0,282404080000015.0,11
21,NU,279488980000014.0,297488980000014.0,11
22,NU,283804080000016.0,301804080000016.0,11
23,NU,301368845000014.0,312368845000014.0,10
24,NU,304365480000017.0,322365480000017.0,11
25,NU,315420340000017.0,332420340000017.0,10
26,NU,338520330000017.0,351520330000017.0,10
27,NU,341041760000018.0,355041760000018.0,11
28,NU,356541760000019.0,373541760000019.0,11
29,NU,369954975000014.0,385954975000014.0,13
30,NU,375241760000020.0,386241760000020.0,11
31,NU,386112895000013.0,400112895000013.0,11
32,NU,400381540000021.0,416381540000021.0,10
33,NU,414620330000021.0,429620330000021.0,11
34,NU,428915200000022.0,443915200000022.0,11
35,NU,430337975000015.0,449337975000015.0,11
36,NU,445315200000023.0,456315200000023.0,11
37,NU,453178130000016.0,470178130000016.0,14
38,NU,458115200000024.0,477115200000024.0,10
39,NU,470408760000024.0,483408760000024.0,11
40,NU,479615995000025.0,493615995000025.0,10
41,NU,488523340000025.0,502523340000025.0,10
42,NU,495515995000026.0,506515995000026.0,11
43,NU,502559395000018.0,520559395000018.0,10
44,NU,507615995000027.0,526615995000027.0,11
45,NU,521011365000026.0,534011365000026.0,11
46,NU,527615995000028.0,544615995000028.0,10
47,NU,536305955000018.0,552305955000018.0,14
48,NU,546315995000029.0,561315995000029.0,10
49,NU,562415995000030.0,577415995000030.0,11
50,NU,590014550000030.0,605014550000030.0,10
51,NU,592847775000031.0,610847775000031.0,11
52,NU,605569530000029.0,615569530000029.0,10
53,NU,611834450000031.0,628834450000031.0,11
54,NU,615847775000032.0,633847775000032.0,11
55,NU,629353355000024.0,640353355000024.0,10
56,NU,635247775000033.0,646247775000033.0,11
57,NU,641853355000025.0,652853355000025.0,10
58,NU,648147775000034.0,658147775000034.0,11
59,NU,659547775000035.0,676547775000035.0,10
60,NU,692400995000036.0,711400995000036.0,10
61,NU,712900995000037.0,724900995000037.0,10
62,NU,716264495000030.0,728264495000030.0,10
63,NU,725708040000038.0,738708040000038.0,11
