,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Fermilab_1,1500000000000.0,16500000000000.0,10,0.8738134479590757,1500000000000.0,7.666666666666666
1,NU,Argonne_1,17800000000001.0,31800000000001.0,11,0.9265512545214292,1300000000000.0,21.0
2,NU,Fermilab_1,33400000000002.0,50400000000002.0,10,0.9359835322328045,1600000000000.0,7.529411764705882
3,NU,Fermilab_1,51500000000003.0,67500000000003.0,10,0.9700382693617574,1100000000000.0,7.5625
4,NU,Argonne_2,74200000000004.0,85200000000004.0,11,0.9654006051638108,6700000000000.0,7.545454545454546
5,NU,UChicago_PME,86700000000005.0,100700000000005.0,11,0.9079714408688873,1500000000000.0,86.5
6,NU,Argonne_2,118519515000006.0,134519515000006.0,10,0.8279317819148299,17819515000000.0,12.875
7,NU,Argonne_2,149761855000007.0,164761855000007.0,10,0.8503909949855918,15242340000000.0,13.066666666666666
8,NU,UChicago_PME,166161855000008.0,181161855000008.0,11,0.9562798649628241,1400000000000.0,82.8
9,NU,UChicago_HC,192084735000009.0,207084735000009.0,10,0.9669946237196825,10922880000000.0,7.0
10,NU,UChicago_HC,216184735000010.0,229184735000010.0,11,0.9632812291835386,9100000000000.0,25.0
11,NU,UChicago_PME,231084735000011.0,245084735000011.0,10,0.9925149106404718,1900000000000.0,0.0
12,NU,Fermilab_1,250490600000012.0,267490600000012.0,10,0.8347154602511491,5405865000000.0,7.88235294117647
13,NU,Fermilab_1,269290600000013.0,281290600000013.0,11,0.9568066895394801,1800000000000.0,9.916666666666666
14,NU,UChicago_HC,304630000000014.0,316630000000014.0,11,0.843804565682785,23339400000000.0,48.5
15,NU,Argonne_2,332467840000015.0,344467840000015.0,10,0.9793187670041009,15837840000000.0,1.3333333333333335
16,NU,UChicago_HC,348581160000016.0,363581160000016.0,11,0.8601766048477277,4113320000000.0,52.06666666666667
17,NU,StarLight,364981160000017.0,378981160000017.0,11,0.8134924490441907,1400000000000.0,441.35714285714283
18,NU,UChicago_HC,382590040000018.0,399590040000018.0,11,0.9750593422783764,3608880000000.0,5.470588235294118
19,NU,Fermilab_1,401390040000019.0,412390040000019.0,11,0.9146203165928043,1800000000000.0,9.09090909090909
20,NU,Argonne_1,414190040000020.0,432190040000020.0,10,0.9313794079754927,1800000000000.0,24.72222222222222
21,NU,UChicago_HC,443590040000021.0,454590040000021.0,10,0.8862270963404929,11400000000000.0,44.72727272727273
22,NU,StarLight,475290040000022.0,493290040000022.0,10,0.8748815438757774,20700000000000.0,399.55555555555554
23,NU,Argonne_2,523769720000023.0,537769720000023.0,11,0.9658387331653908,30479680000000.0,6.857142857142857
24,NU,Argonne_1,542377400000024.0,556377400000024.0,11,0.9405482104894176,4607680000000.0,24.0
25,NU,Fermilab_2,563600780000025.0,576600780000025.0,10,0.9202051881781973,7223380000000.0,5.230769230769231
26,NU,UChicago_PME,578500780000026.0,591500780000026.0,11,0.810122633523817,1900000000000.0,80.3076923076923
27,NU,Fermilab_2,619351500000027.0,634351500000027.0,11,0.9276359009996696,27850720000000.0,6.133333333333334
28,NU,UChicago_HC,648359380000028.0,664359380000028.0,11,0.8973335748788532,14007880000000.0,50.4375
29,NU,Fermilab_2,666059380000029.0,683059380000029.0,10,0.8176132794046543,1700000000000.0,4.882352941176471
30,NU,Fermilab_2,684259380000030.0,695259380000030.0,11,0.9207956914111921,1200000000000.0,6.727272727272727
31,NU,UChicago_HC,703959380000031.0,719959380000031.0,11,0.9920652450225741,8700000000000.0,0.0
32,NU,UChicago_PME,723067260000032.0,737067260000032.0,11,0.8214739707540272,3107880000000.0,85.5
33,NU,StarLight,738667260000033.0,749667260000033.0,11,0.8952519708196736,1600000000000.0,431.90909090909093
34,NU,Argonne_3,751067260000034.0,767067260000034.0,11,0.920657433148347,1400000000000.0,13.5625
35,NU,Fermilab_1,768367260000035.0,779367260000035.0,11,0.933995991812463,1300000000000.0,8.363636363636365
36,NU,Argonne_3,780767260000036.0,791767260000036.0,11,0.8331063754342481,1400000000000.0,15.818181818181818
37,NU,UChicago_PME,793167260000037.0,808167260000037.0,11,0.9577302314760963,1400000000000.0,84.66666666666667
