,Node,Start_time,End_time,Memory_size
0,NU,62414500000002.0,77414500000002.0,11
1,NU,85818000000003.0,98818000000003.0,13
2,NU,100218000000004.0,118218000000004.0,11
3,NU,119204155000004.0,135204155000004.0,12
4,NU,145512960000002.0,155512960000002.0,11
5,NU,195245345000009.0,210245345000009.0,13
6,NU,325888190000000.0,342888190000000.0,10
7,NU,344588190000001.0,361588190000001.0,12
8,NU,374396935000002.0,385396935000002.0,13
9,NU,392801705000003.0,410801705000003.0,10
10,NU,412001705000004.0,426001705000004.0,15
11,NU,431404885000005.0,446404885000005.0,12
12,NU,451608065000006.0,467608065000006.0,10
13,NU,476113630000007.0,494113630000007.0,10
14,NU,495846835000016.0,507846835000016.0,12
15,NU,502657920000016.0,520657920000016.0,17
16,NU,558057970000024.0,576057970000024.0,11
17,NU,628421255000018.0,641421255000018.0,10
18,NU,638812385000008.0,656812385000008.0,10
19,NU,658512385000009.0,672512385000009.0,12
20,NU,681074870000016.0,698074870000016.0,12
21,NU,706557970000030.0,721557970000030.0,10
22,NU,713203910000012.0,732203910000012.0,11
23,NU,735987450000019.0,750987450000019.0,16
24,NU,751476745000010.0,765476745000010.0,13
25,NU,765666200000024.0,783666200000024.0,13
26,NU,795123875000022.0,806123875000022.0,17
27,NU,822712950000026.0,838712950000026.0,22
28,NU,839333985000011.0,852333985000011.0,17
29,NU,854133985000012.0,869133985000012.0,20
30,NU,858912950000028.0,868912950000028.0,19
31,NU,881742730000013.0,900742730000013.0,12
32,NU,901169515000020.0,918169515000020.0,15
33,NU,935568965000014.0,945568965000014.0,10
34,NU,962574975000027.0,978574975000027.0,10
35,NU,978647175000026.0,992647175000026.0,10
36,StarLight,14705370000000.0,25705370000000.0,42
37,StarLight,27205370000001.0,41205370000001.0,22
38,StarLight,41813500000001.0,58813500000001.0,34
39,StarLight,60166415000001.0,73166415000001.0,26
40,StarLight,62414500000002.0,77414500000002.0,22
41,StarLight,74666415000002.0,85666415000002.0,22
42,StarLight,85818000000003.0,98818000000003.0,26
43,StarLight,90802635000005.0,100802635000005.0,15
44,StarLight,99013375000004.0,113013375000004.0,12
45,StarLight,100218000000004.0,118218000000004.0,22
46,StarLight,102000605000000.0,121000605000000.0,11
47,StarLight,119204155000004.0,135204155000004.0,24
48,StarLight,129312960000001.0,144312960000001.0,15
49,StarLight,135234690000004.0,152234690000004.0,11
50,StarLight,144829315000005.0,161829315000005.0,20
51,StarLight,145512960000002.0,155512960000002.0,11
52,StarLight,155559170000003.0,166559170000003.0,10
53,StarLight,157112960000003.0,169112960000003.0,11
54,StarLight,162634605000007.0,174634605000007.0,20
55,StarLight,181030610000004.0,197030610000004.0,12
56,StarLight,184489295000006.0,201489295000006.0,12
57,StarLight,195245345000009.0,210245345000009.0,26
58,StarLight,201630610000005.0,215630610000005.0,14
59,StarLight,216945345000010.0,233945345000010.0,46
60,StarLight,246745345000011.0,264745345000011.0,42
61,StarLight,265016885000009.0,281016885000009.0,11
62,StarLight,272786995000006.0,291786995000006.0,12
63,StarLight,282048030000012.0,294048030000012.0,26
64,StarLight,286831030000002.0,302831030000002.0,11
65,StarLight,294486995000007.0,307486995000007.0,21
66,StarLight,297720430000007.0,316720430000007.0,13
67,StarLight,310189680000008.0,320189680000008.0,13
68,StarLight,314124210000013.0,328124210000013.0,10
69,StarLight,317920430000008.0,334920430000008.0,17
70,StarLight,325888190000000.0,342888190000000.0,20
71,StarLight,334743560000012.0,353743560000012.0,11
72,StarLight,336717985000009.0,349717985000009.0,12
73,StarLight,344588190000001.0,361588190000001.0,24
74,StarLight,355851945000009.0,372851945000009.0,26
75,StarLight,361923280000010.0,373923280000010.0,20
76,StarLight,373272000000013.0,391272000000013.0,22
77,StarLight,374396935000002.0,385396935000002.0,26
78,StarLight,386423280000011.0,402423280000011.0,18
79,StarLight,392801705000003.0,410801705000003.0,20
80,StarLight,404735805000009.0,416735805000009.0,14
81,StarLight,412001705000004.0,426001705000004.0,15
82,StarLight,414977370000014.0,430977370000014.0,20
83,StarLight,417137400000012.0,428137400000012.0,10
84,StarLight,431404885000005.0,446404885000005.0,24
85,StarLight,433046835000013.0,450046835000013.0,12
86,StarLight,435486770000006.0,450486770000006.0,10
87,StarLight,447159030000015.0,461159030000015.0,18
88,StarLight,451946835000014.0,466946835000014.0,10
89,StarLight,451608065000006.0,467608065000006.0,20
90,StarLight,461586185000010.0,474586185000010.0,20
91,StarLight,468646835000015.0,483646835000015.0,12
92,StarLight,468457970000019.0,482457970000019.0,14
93,StarLight,476113630000007.0,494113630000007.0,20
94,StarLight,484057920000015.0,501057920000015.0,30
95,StarLight,495846835000016.0,507846835000016.0,12
96,StarLight,502657920000016.0,520657920000016.0,34
97,StarLight,510646835000017.0,525646835000017.0,16
98,StarLight,522157920000017.0,532157920000017.0,11
99,StarLight,530380570000012.0,544380570000012.0,10
100,StarLight,530653895000018.0,547653895000018.0,16
101,StarLight,534592455000012.0,547592455000012.0,20
102,StarLight,549392455000013.0,562392455000013.0,24
103,StarLight,558057970000024.0,576057970000024.0,22
104,StarLight,562682200000019.0,575682200000019.0,11
105,StarLight,565186905000019.0,582186905000019.0,11
106,StarLight,577002100000014.0,596002100000014.0,20
107,StarLight,628421255000018.0,641421255000018.0,20
108,StarLight,633775745000020.0,648775745000020.0,10
109,StarLight,638812385000008.0,656812385000008.0,20
110,StarLight,648805395000017.0,667805395000017.0,22
111,StarLight,658512385000009.0,672512385000009.0,12
112,StarLight,668074870000015.0,680074870000015.0,36
113,StarLight,673918525000023.0,689918525000023.0,14
114,StarLight,680197225000021.0,691197225000021.0,11
115,StarLight,681074870000016.0,698074870000016.0,24
116,StarLight,692397225000022.0,706397225000022.0,14
117,StarLight,698674635000020.0,712674635000020.0,28
118,StarLight,706557970000030.0,721557970000030.0,20
119,StarLight,713203910000012.0,732203910000012.0,22
120,StarLight,722387450000018.0,734387450000018.0,17
